eez_iso3,flag,number_countries_in_EEZ
AGO,BLZ,23
AGO,CHN,23
AGO,CPV,23
AGO,CUW,23
AGO,DJI,23
AGO,ESP,23
AGO,FRA,23
AGO,GCA,23
AGO,GEO,23
AGO,GTM,23
AGO,IRL,23
AGO,JPN,23
AGO,KOR,23
AGO,LTU,23
AGO,NAM,23
AGO,NOR,23
AGO,PAN,23
AGO,PRT,23
AGO,RUS,23
AGO,SEN,23
AGO,SLV,23
AGO,STP,23
AGO,ZAF,23
ALB,GRC,5
ALB,ITA,5
ALB,MLT,5
ALB,MNE,5
ALB,TUR,5
ARE,CHN,9
ARE,GHA,9
ARE,IND,9
ARE,IRN,9
ARE,KNA,9
ARE,KOR,9
ARE,MNG,9
ARE,QAT,9
ARE,SYC,9
ARG,AFG,15
ARG,BLZ,15
ARG,CHL,15
ARG,CHN,15
ARG,ESP,15
ARG,FLK,15
ARG,GBR,15
ARG,KOR,15
ARG,NGA,15
ARG,PRT,15
ARG,RUS,15
ARG,TWN,15
ARG,UKR,15
ARG,URY,15
ARG,VUT,15
ASC,SHN,2
ASC,TWN,2
ASM,CHN,6
ASM,COK,6
ASM,ESP,6
ASM,TWN,6
ASM,USA,6
ASM,VUT,6
ATF,ALB,15
ATF,ARG,15
ATF,AUS,15
ATF,CHN,15
ATF,ESP,15
ATF,FRA,15
ATF,JPN,15
ATF,KOR,15
ATF,MOZ,15
ATF,MUS,15
ATF,NZL,15
ATF,REU,15
ATF,SYC,15
ATF,TWN,15
ATF,ZAF,15
ATG,KNA,1
AUS,BLZ,8
AUS,CHN,8
AUS,JPN,8
AUS,NCL,8
AUS,NZL,8
AUS,RUS,8
AUS,TWN,8
AUS,VUT,8
BEL,DEU,4
BEL,FRA,4
BEL,GBR,4
BEL,NLD,4
BEN,BLZ,3
BEN,CHN,3
BEN,GHA,3
BES,KNA,2
BES,VEN,2
BHR,QAT,1
BHS,ESP,2
BHS,USA,2
BMU,USA,1
BRA,ARG,21
BRA,BLZ,21
BRA,BOL,21
BRA,CHN,21
BRA,DNK,21
BRA,ESP,21
