eez_iso3,number_vessels_in_EEZ
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
AGO,93
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ALB,31
ARE,19
ARE,19
ARE,19
ARE,19
ARE,19
ARE,19
ARE,19
ARE,19
ARE,19
ARE,19
ARE,19
ARE,19
ARE,19
ARE,19
ARE,19
ARE,19
ARE,19
ARE,19
ARE,19
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ARG,214
ASC,3
ASC,3
ASC,3
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ASM,65
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATF,40
ATG,1
AUS,16
AUS,16
AUS,16
AUS,16
AUS,16
AUS,16
AUS,16
AUS,16
AUS,16
AUS,16
AUS,16
AUS,16
AUS,16
AUS,16
AUS,16
AUS,16
BEL,102
BEL,102
BEL,102
BEL,102
BEL,102
BEL,102
BEL,102
BEL,102
BEL,102
BEL,102
BEL,102
BEL,102
BEL,102
BEL,102
BEL,102
BEL,102
BEL,102
BEL,102
BEL,102
BEL,102
