year,ssvid,flag,eez_iso3,vessel_class,length_m,length_class,tonnage_gt,engine_power_kw,fishing_hours_year_tot,fishing_hours_year_eez_fao,kwhr
2018,305880111,ATG,KOR,set_gillnets,26.50277117,"[25,30)",210.2678857,418.1825932,14.35583333,14.35583333,6003.359609486391
2018,410356666,BTN,KOR,tuna_purse_seines,34.08955742,"[30,35)",1017.38485,363.3999719,3.813472222,2.579861111,1385.8156983162307
2018,5611,CHN,KOR,trawlers,24.32519355,"[20,25)",86.5763487,365.8484935,497.46125,1.710694444,181995.4488871269
2018,77999,CHN,KOR,tuna_purse_seines,42.82828389,"[40,45)",706.9880714,428.8446002,10.99736111,10.99736111,4716.158928472978
2018,123581,CHN,KOR,trawlers,31.93004612,"[30,35)",162.3102793,457.575877,549.5593056,3.461805556,251465.081223431
2018,8072933,CHN,KOR,trawlers,22.86172579,"[20,25)",113.9974425,309.1063812,168.5716667,4.930277778,52106.57786648955
2018,8082689,CHN,KOR,trawlers,23.67095168,"[20,25)",90.58234127,529.449338,31.69916667,4.204583333,16783.102808583164
2018,8800001,CHN,KOR,set_gillnets,23.18630587,"[20,25)",99.965108,209.1116517,10.41736111,1.50875,2178.3915880674454
2018,8804111,CHN,KOR,trawlers,30.31675944,"[30,35)",140.3978184,452.5091538,301.5994444,11.95125,136476.50937199412
2018,8805006,CHN,KOR,set_longlines,29.99668057,"[25,30)",118.9611323,345.5774835,220.7808333,14.20013889,76296.88477684702
2018,9021138,CHN,KOR,trawlers,32.64534916,"[30,35)",196.7911823,432.6845801,297.8652778,30.15402778,128881.71265126286
2018,9021550,CHN,KOR,trawlers,27.25864921,"[25,30)",139.1848233,310.0049671,76.88416667,72.22583333,23834.473559044265
2018,9022005,CHN,KOR,fishing,29.08340649,"[25,30)",277.544254,529.4952482,24.87930556,24.69763889,13173.474072535839
2018,9022979,CHN,KOR,pots_and_traps,34.5918616,"[30,35)",296.5628923,252.9518894,56.48263889,50.50708333,14287.390225523417
2018,100044559,CHN,KOR,fixed_gear,25.13515588,"[25,30)",129.7937371,256.2532501,472.0551389,12.48166667,120965.66356953193
2018,100700772,CHN,KOR,trawlers,26.51703115,"[25,30)",169.0433161,363.6654357,100.5613889,6.305694444,36570.70130891564
2018,100700776,CHN,KOR,trawlers,30.45534399,"[30,35)",226.0831024,476.7767114,804.1647222,5.284583333,383407.0116744106
2018,100807129,CHN,KOR,tuna_purse_seines,34.92926632,"[30,35)",399.2046975,374.4125025,88.28458333,73.58763889,33054.85177675509
2018,100893908,CHN,KOR,fishing,30.29332731,"[30,35)",223.9800335,227.0578476,8.146666667,3.740833333,1849.764598523686
2018,100898146,CHN,KOR,squid_jigger,30.32705578,"[30,35)",484.4602154,401.3110014,363.0459722,8.8575,145694.34265781858
2018,100898450,CHN,KOR,drifting_longlines,40.82942477,"[40,45)",385.656595,271.9464499,139.4215278,3.581388889,37915.18952484416
2018,100900039,CHN,KOR,drifting_longlines,35.72080117,"[35,40)",315.0349672,437.2390623,110.3858333,3.751111111,48264.99824329612
2018,100900045,CHN,KOR,trawlers,43.66142282,"[40,45)",596.1239232,1012.207606,325.1198611,12.84638889,329088.7962670835
2018,100900155,CHN,KOR,trawlers,43.25229691,"[40,45)",764.1090113,546.257486,97.62916667,2.511111111,53330.66314542919
2018,100900194,CHN,KOR,fishing,25.70614348,"[25,30)",269.1549885,353.437639,647.2425,11.79027778,228759.86106045748
2018,100900228,CHN,KOR,tuna_purse_seines,39.9449997,"[35,40)",530.1592335,775.4034607,322.05,49.1525,249718.684518435
2018,100900256,CHN,KOR,squid_jigger,66.48384719,"[65,70)",1161.147147,853.0685052,1.825416667,40.51416667,1557.2054674848562
2018,100900310,CHN,KOR,trawlers,44.15956761,"[40,45)",401.2235514,687.9316581,122.8783333,4.5025,84531.89557163345
2018,100901211,CHN,KOR,trawlers,34.41447891,"[30,35)",477.0840365,417.1006832,424.5766667,10.94819444,177091.21775134868
2018,100901212,CHN,KOR,fishing,29.98354596,"[25,30)",219.001022,372.0314116,430.9088889,6.090416667,160311.64220845458
2018,100905666,CHN,KOR,drifting_longlines,32.4600013,"[30,35)",970.0350555,536.4524418,71.07916667,17.36583333,38130.592521230676
2018,100942003,CHN,KOR,tuna_purse_seines,40.78165724,"[40,45)",390.2800607,247.7078299,31.63291667,9.175416667,7835.721141733235
2018,108668216,CHN,KOR,fishing,31.78771877,"[30,35)",298.3084638,285.1296983,58.42263889,5.372083333,16658.029400595547
2018,108669635,CHN,KOR,set_gillnets,33.26947966,"[30,35)",326.0998995,265.8158753,299.9784722,59.66180556,79739.04015899972
2018,108669880,CHN,KOR,trawlers,36.43033344,"[35,40)",344.9834078,488.9390571,89.54472222,14.49041667,43781.91205052822
