flag,ssvid,n
ARG,701000627,25
CHN,412420821,16
KOR,440167000,14
KOR,441699000,14
USA,367794880,14
KIR,529783000,13
KOR,440479000,13
RUS,273854000,13
SLV,359102000,13
USA,367383720,13
BLZ,312191000,12
KOR,440104000,12
KOR,441233000,12
PNG,553111754,12
CHN,412217999,11
DEU,211410690,11
ESP,224241000,11
ESP,224580000,11
ESP,224745000,11
ESP,225459000,11
JPN,431329000,11
KIR,529676000,11
KOR,440823000,11
KOR,441837000,11
SLV,359004000,11
USA,367179000,11
USA,367738980,11
CHN,413034000,10
CHN,413222000,10
CHN,416005081,10
CPV,617095000,10
DEU,211238930,10
DEU,218832000,10
ESP,224032970,10
ESP,224069960,10
ESP,224114750,10
ESP,224138280,10
ESP,224709000,10
ESP,224727000,10
FRA,226180000,10
FRA,227549000,10
FSM,510069000,10
FSM,510080000,10
JPN,431128000,10
JPN,431167000,10
JPN,431702850,10
JPN,432411000,10
KIR,529440000,10
KOR,440110827,10
KOR,440492000,10
MHL,538060015,10
NOR,259525000,10
PAN,371996000,10
RUS,273242100,10
RUS,273399260,10
RUS,273459510,10
SLB,557005500,10
SWE,266205000,10
TWN,416001452,10
TWN,416245700,10
USA,338793000,10
USA,366020000,10
USA,366903000,10
USA,367318980,10
USA,367463000,10
USA,367649000,10
BLZ,312590000,9
CHN,412326798,9
CHN,412354269,9
CHN,412371181,9
CHN,412420818,9
CHN,412420819,9
CHN,412420848,9
CHN,413235000,9
CUW,306097000,9
DEU,218799000,9
DNK,219330000,9
DNK,220482000,9
ESP,224405000,9
ESP,224463000,9
ESP,224531000,9
ESP,224587000,9
ESP,224775000,9
FJI,520204000,9
FRA,227835000,9
FRA,228071900,9
FSM,510046000,9
FSM,510056000,9
JPN,431500180,9
JPN,432447000,9
KOR,441024000,9
LVA,275453000,9
MHL,538060008,9
PAN,354747000,9
PNG,553111759,9
PRT,263583000,9
RUS,273212100,9
RUS,273526700,9
RUS,273537800,9
SWE,266427000,9
SWE,266449000,9
TWN,416002477,9
TWN,416004000,9
TWN,416039900,9
TWN,416240900,9
TWN,416247900,9
TWN,416501000,9
USA,367170000,9
USA,367721000,9
USA,367767000,9
VEN,775630000,9
VUT,577384000,9
BEL,205237000,8
CHN,412270002,8
CHN,412270024,8
CHN,412326863,8
CHN,412326873,8
CHN,412371182,8
CHN,412439607,8
CIV,619002000,8
CUW,306034000,8
CUW,306783000,8
DEU,211755650,8
DEU,218359000,8
DNK,219058000,8
DNK,219176000,8
DNK,219257000,8
DNK,220141000,8
DNK,331036000,8
ESP,224011320,8
ESP,224049460,8
ESP,224098640,8
ESP,224122000,8
ESP,224170000,8
ESP,224431000,8
FRA,227302000,8
FRA,227550000,8
FRA,228066900,8
FRA,228080600,8
FRA,228167000,8
FRA,228168000,8
FRA,618000500,8
FRO,231014000,8
FRO,231116000,8
FSM,510061000,8
FSM,510062000,8
FSM,510067000,8
FSM,510068000,8
FSM,510070000,8
FSM,510073000,8
FSM,510084000,8
GCA,332001000,8
GHA,627996000,8
GRL,331119000,8
JPN,431361000,8
JPN,431469000,8
JPN,431700200,8
JPN,431703660,8
JPN,431704520,8
JPN,431817000,8
JPN,431853000,8
JPN,431869000,8
JPN,432475000,8
JPN,432503000,8
KIR,529435000,8
KIR,529687000,8
KIR,529695000,8
KOR,440226000,8
KOR,440821000,8
KOR,440822000,8
KOR,441645000,8
KOR,441675000,8
KOR,441811000,8
KOR,441853000,8
LTU,277354000,8
MHL,538060004,8
MHL,538060005,8
MHL,538060006,8
NLD,245084000,8
NLD,245811000,8
NLD,246274000,8
NOR,257267000,8
NOR,258052000,8
NOR,258138000,8
NOR,258654000,8
NOR,259683000,8
PAN,354753000,8
PHL,584779200,8
PNG,553111698,8
PNG,553111750,8
