flag,total_effort
AFG,688.6797222222222
AGO,135710.82486111112
AIA,631.6958333333334
ALB,64204.1475
AND,220.51986111111114
ARE,3.7743055555555554
ARG,893947.2677777779
ARM,186.25847222222222
ATF,1273.4395833333338
ATG,14.355833333333331
AUS,25461.395972222224
AUT,1005.5506944444444
AZE,3074.760972222222
BDI,0.6754166666666668
BEL,559674.0361111112
BEN,1856.3705555555553
BES,2759.8316666666665
BFA,41.31305555555556
BGD,0.16666666666666666
BGR,16674.109861111112
BHR,45332.83152777778
BHS,136.30750000000003
BIH,76.18569444444445
BLZ,63061.624583333345
BMU,847.0858333333333
BOL,48.623888888888885
BRA,6986.893888888888
BRB,9.987916666666667
BRN,16.536388888888887
BTN,9472.227361111112
BWA,79.74708333333332
CAF,3151.6995833333335
CAN,409943.61847222224
CHL,171675.80888888898
CHN,11285189.84322597
CIV,41123.27569444445
CMR,875.771388888889
COG,583.4202777777778
COK,154255.91444444444
COL,44284.87986111112
COM,10516.305833333334
CPV,6475.4480555555565
CRI,263.05263888888885
CUB,205.83819444444444
CUW,29891.648333333334
CXR,719.2722222222221
CYP,59781.67263888892
CZE,37.25458333333333
DEU,583513.6654166667
DJI,683.5944444444445
DNK,1612288.1372222223
DOM,4.084444444444444
DZA,2854.0362499999997
ECU,16977.176250000004
EGY,988.6426388888889
ESP,3795736.7513888893
EST,196153.9981944445
FIN,115296.27694444444
FJI,435646.1475
FLK,175304.0637500001
FRA,3152246.7922222223
FRO,670979.80125
FSM,242153.33847222224
GBR,1785919.4566666668
GCA,2316.703333333333
GEO,660.7738888888889
GHA,137428.19333333336
GIB,1039.7995833333332
GIN,17980.286250000016
GMB,1947.2722222222224
GNB,61660.13555555556
GNQ,2378.6670833333337
GRC,186937.96375
GRD,2.139861111111111
GRL,142198.33666666673
GTM,8218.275833333333
GUF,5159.033333333334
GUY,48.49277777777778
HND,44.45388888888889
HRV,61358.35805555555
HTI,425.46208333333334
HUN,5481.51375
IDN,10245.7825
IND,462.5155555555555
IRL,586223.3693055556
IRN,15610.860277777778
IRQ,3206.9394444444442
ISL,859353.5518055557
ISR,973.4870833333333
ITA,2423452.82875
JOR,801.9048611111111
JPN,3393110.1391666676
KEN,2200.205833333334
KGZ,1222.6915277777775
KHM,6826.739166666671
KIR,86110.44708333335
KNA,8541.579583333332
KOR,2728462.768611112
KWT,301.73569444444445
LBN,4630.056944444445
LBR,5310.9236111111095
LBY,2429.5584722222225
LIE,324.4287499999999
LKA,379582.7081944444
LSO,15.9575
LTU,166586.56347222225
LUX,455.5252777777777
LVA,185555.78958333336
MAC,578.2833333333333
MAR,87774.0988888889
MDA,1378.9622222222224
MDG,72.36361111111111
MDV,1763.3052777777782
MEX,91842.41694444446
MHL,75322.07694444444
MLT,64916.21152777778
MMR,211.02680555555554
MNE,6013.4991666666665
MNG,10736.89125
MOZ,31316.189722222225
MRT,41430.21722222223
MSR,85.05888888888892
MTQ,786.1586111111111
MUS,29927.59833333334
MWI,633.948888888889
MYS,144892.04930555559
NAM,115962.39194444446
NCL,26483.627916666675
NER,36.42541666666667
NGA,4355.51027777778
NIC,9102.809583333334
NIU,473.9997222222221
NLD,1715239.336388889
NOR,2580864.982916667
NPL,881.0965277777776
NRU,1243.054583333334
NZL,89343.66305555562
OMN,571.7880555555555
PAN,62303.62152777779
PCN,422.93527777777774
PER,10420.807222222225
PHL,44875.95111111111
PNG,179086.58888888892
POL,349176.92319444445
PRK,693.8361111111111
PRT,750355.1415277778
PSE,4020.277222222222
PYF,1736.2120833333333
QAT,21762.27013888889
REU,86711.75611111111
ROM,1284.8504166666667
RUS,4227039.220972223
RWA,0.17680555555555555
SAU,87.52819444444445
SDN,0.23819444444444443
SEN,295664.8127777778
SGP,2131.7383333333332
SHN,6762.998194444449
SLB,26081.320000000003
SLE,85.32444444444444
SLV,31826.711666666662
SMR,55.4651388888889
SOM,1812.6356944444442
SPM,5508.999583333333
SRB,317.2147222222223
SSD,16.73763888888889
STP,2089.5954166666666
SVK,25555.903749999998
SVN,11342.848888888886
SWE,410380.96291666664
SWZ,5.776388888888889
SYC,412689.2979166667
SYR,2.6766666666666667
TCA,5315.124305555556
TGO,285.3547222222222
THA,927.9037500000001
TTO,162.87000000000003
TUN,9789.920277777777
TUR,275995.0968055556
TUV,115.5709722222222
TWN,8168302.056944445
TZA,18031.66055555555
UKR,63617.05250000008
UNK,2345.904444444444
URY,281053.4420833334
USA,807790.0236111113
VAT,422.0290277777778
VCT,74829.58638888889
VEN,37633.99777777778
VGB,21.42805555555556
VUT,745650.1001388889
WLF,679.5708333333334
WSM,3157.632222222222
YEM,1794.504722222222
ZAF,130195.22972222224
ZMB,132.99430555555557
