flag,total_vessels
CHN,6255
TWN,810
ESP,688
ITA,667
FRA,494
RUS,436
GBR,393
NOR,367
KOR,363
TUR,316
DNK,295
JPN,286
USA,270
NLD,249
IRL,176
SWE,147
DEU,132
POL,126
CAN,117
ARG,110
PRT,92
ISL,89
ALB,82
LKA,79
BEL,75
GRC,68
BHR,58
LVA,57
URY,51
FRO,50
VUT,48
MLT,47
PAN,40
SEN,40
BTN,39
SYC,36
FJI,31
GHA,31
MAR,31
HRV,30
FIN,29
FSM,29
LTU,28
CYP,26
EST,26
VEN,25
MEX,24
BLZ,23
SOM,22
ZAF,22
NAM,21
REU,21
PHL,20
TUN,19
AGO,18
BGR,18
COK,18
PNG,18
IDN,16
IRN,16
NZL,16
FLK,15
CHL,13
GRL,13
LBY,13
SGP,13
CAF,12
GNQ,12
KIR,12
MYS,12
AZE,11
COL,11
MRT,11
QAT,11
AUS,10
DZA,10
MHL,10
ECU,9
GNB,9
IRQ,9
LBN,9
MUS,9
UKR,9
KNA,8
MWI,8
ATF,7
CUW,7
MDA,7
SLB,7
SLV,7
SVN,7
VCT,7
COG,6
GEO,6
MNG,6
SHN,6
AFG,5
IND,5
MNE,5
MOZ,5
NCL,5
NIC,5
PCN,5
PRK,5
YEM,5
BRB,4
COM,4
CXR,4
GIB,4
GIN,4
GTM,4
KGZ,4
PSE,4
ROM,4
SPM,4
STP,4
THA,4
WSM,4
AIA,3
BEN,3
BMU,3
BRA,3
EGY,3
GUF,3
ISR,3
JOR,3
KHM,3
LIE,3
LUX,3
MDV,3
NRU,3
PER,3
PYF,3
SVK,3
ARM,2
AUT,2
BES,2
BHS,2
BRN,2
BWA,2
CIV,2
CMR,2
CPV,2
CRI,2
GMB,2
HTI,2
MAC,2
NIU,2
OMN,2
SLE,2
SSD,2
TCA,2
TGO,2
TZA,2
UNK,2
WLF,2
AND,1
ARE,1
ATG,1
BDI,1
BFA,1
BGD,1
BIH,1
BOL,1
CUB,1
CZE,1
DJI,1
DOM,1
GCA,1
GRD,1
GUY,1
HND,1
HUN,1
KEN,1
KWT,1
LBR,1
LSO,1
MDG,1
MMR,1
MSR,1
MTQ,1
NER,1
NGA,1
NPL,1
RWA,1
SAU,1
SDN,1
SMR,1
SRB,1
SWZ,1
SYR,1
TTO,1
TUV,1
VAT,1
VGB,1
ZMB,1
