year,ssvid,flag,eez_iso3,vessel_class,length_m,length_class,tonnage_gt,engine_power_kw,fishing_hours_year_tot,fishing_hours_year_eez_fao,kwhr
2018,603100164,AGO,NAM,trawlers,31.55687088,"[30,35)",337,572.7878192,4628.775,2.412638889,2651305.9378174795
2018,603100179,AGO,NAM,trawlers,60.72674857,"[60,65)",960,1702.45354,1297.68375,81.93263889,2209246.293987975
2018,603100286,AGO,NAM,other_purse_seines,28.73702689,"[25,30)",236.4349618,479.1845627,294.5005556,14.64222222,141120.11995009304
2018,312795000,BLZ,NAM,trawlers,107.5306287,"[105,110)",7765,3926.891719,2448.861806,2446.798056,9616415.146956785
2018,224049860,ESP,NAM,drifting_longlines,26.3,"[25,30)",230.417486,311.07,1546.194583,0.671944444,480974.74893381
2018,224066580,ESP,NAM,drifting_longlines,27.06666667,"[25,30)",193.112534,262.5,2225.436667,858.5351389,584177.1250875
2018,224069140,ESP,NAM,trawlers,32.53,"[30,35)",274.5,625,4674.005139,3.810694444,2921253.211875
2018,224079000,ESP,NAM,trawlers,53.85,"[50,55)",942.1,1245.59,194.7981944,0.127638889,242638.68296269598
2018,224084640,ESP,NAM,drifting_longlines,25.7375,"[25,30)",179.748,350.2436166,2501.724306,0.766388889,876212.968669565
2018,224094520,ESP,NAM,drifting_longlines,26.3,"[25,30)",209,462.162,3024.209861,11.32194444,1397674.877779482
2018,224101950,ESP,NAM,drifting_longlines,28.50787405,"[25,30)",233.5064632,318.5056152,3699.414861,0.397638889,1178284.4061828277
2018,224133000,ESP,NAM,trawlers,33.02,"[30,35)",293,625,1490.885139,8.112083333,931803.211875
2018,224135000,ESP,NAM,drifting_longlines,33.18333333,"[30,35)",270.6415199,308.82,3395.875417,0.180833333,1048714.24627794
2018,224288000,ESP,NAM,drifting_longlines,30,"[30,35)",258.1687192,330.88,2719.683056,1.510833333,899888.7295692799
2018,224300000,ESP,NAM,trawlers,33.53,"[30,35)",292,453.68,5908.959444,13.72402778,2680776.72055392
2018,224335000,ESP,NAM,drifting_longlines,26.5,"[25,30)",190,286.76,1092.085,12.26236111,313166.2946
2018,224459000,ESP,NAM,drifting_longlines,37.51666667,"[35,40)",408,447.5243883,2465.132222,2.307638889,1103206.7897291698
2018,224510000,ESP,NAM,trawlers,32.53,"[30,35)",260.075,312.5,6385.243611,12.70555556,1995388.6284375
2018,224654000,ESP,NAM,drifting_longlines,40.48214286,"[40,45)",497,813.229,4519.898472,0.193888889,3675712.514486088
2018,224929000,ESP,NAM,drifting_longlines,31,"[30,35)",294,222.195,3131.238611,2.675555556,695745.563171145
2018,224931000,ESP,NAM,trawlers,32.6,"[30,35)",293,625,3132.851528,0.165277778,1958032.205
2018,740336000,FLK,NAM,trawlers,62.91493862,"[60,65)",1717,1828.695436,2881.264722,1.625277778,5268955.647029209
2018,213445000,GEO,NAM,fishing,72.66404609,"[70,75)",4407,1872.368029,269.1894444,10.47708333,504021.7094388331
2018,431600270,JPN,NAM,drifting_longlines,49.9,"[45,50)",390.5210817,735,4615.440417,7.349722222,3392348.706495
2018,431700550,JPN,NAM,drifting_longlines,53.2934375,"[50,55)",375.6736787,485.1,3095.742639,1.615277778,1501744.7541789
2018,431700970,JPN,NAM,drifting_longlines,51.372,"[50,55)",436.9660862,385.06,3387.191528,15.07236111,1304271.96977168
2018,431751000,JPN,NAM,drifting_longlines,37.05,"[35,40)",393.8421533,565.7208905,3145.765694,0.258611111,1779625.3697140305
2018,431838000,JPN,NAM,drifting_longlines,49.39,"[45,50)",557.6753453,698,990.3936111,1.689861111,691294.7405478001
2018,431864000,JPN,NAM,drifting_longlines,51.2,"[50,55)",451.3928227,740.127,5859.124306,1.538194444,4336496.095226862
2018,431924000,JPN,NAM,drifting_longlines,49.98,"[45,50)",493.341579,735,3291.649167,0.720694444,2419362.137745
2018,432447000,JPN,NAM,drifting_longlines,49.99,"[45,50)",487.6671856,735.278,3219.149444,1.977916667,2366969.764885432
2018,634129000,KEN,NAM,drifting_longlines,35.94881423,"[35,40)",457.1985584,549.9434236,366.7009722,58.12208333,201664.78808911642
2018,341172000,KNA,NAM,trawlers,117.5997134,"[115,120)",7765,5039.395954,95.04069444,95.04069444,478947.6910262862
2018,341585000,KNA,NAM,other_fishing,54.73453221,"[50,55)",535.2420825,2264.469398,55.79486111,55.79486111,126345.75554925532
2018,257035300,NOR,NAM,trawlers,72.17430283,"[70,75)",1965,3153.91358,622.7313889,8.608888889,1964040.984143971
2018,354753000,PAN,NAM,drifting_longlines,30.6,"[30,35)",170.5,532.2959469,1723.02875,25.62319444,917161.2200171733
2018,659314000,PAN,NAM,fishing,39.92707939,"[35,40)",446,812.29817,3409.702083,3409.702083,2769694.7622660883
2018,261518000,POL,NAM,trawlers,120.28,"[120,125)",7765,5296,2474.122361,2474.122361,13102952.023856001
2018,204862000,PRT,NAM,drifting_longlines,37.7,"[35,40)",319,551.8833333,3681.808194,1.452638889,2031928.5786759732
2018,263415290,PRT,NAM,drifting_longlines,35,"[35,40)",481,662.1493333,1486.144861,2.361527778,984049.8288983711
2018,263517000,PRT,NAM,trawlers,61.42,"[60,65)",1084,1471,1337.76,2.363055556,1967844.96
2018,273366690,RUS,NAM,trawlers,104.5,"[100,105)",4407,5148,34.15625,1.425694444,175836.375
2018,663142000,SEN,NAM,drifting_longlines,42.8,"[40,45)",512,590.2188498,2532.870278,5.377777778,1494947.7821737663
2018,416004203,TWN,NAM,drifting_longlines,36,"[35,40)",191,671.1699171,5748.529722,1.486944444,3858240.2169616264
2018,416337377,TWN,NAM,drifting_longlines,44.80412615,"[40,45)",455.2814948,881.3359787,4304.83875,3.543333333,3794009.2728769346
2018,272179000,UKR,NAM,trawlers,82.25501804,"[80,85)",4407,3298.403283,4.178194444,4.178194444,13781.37027110196
2018,375714000,VCT,NAM,trawlers,120.9949311,"[120,125)",4407,11352.77744,846.8220833,846.8220833,9613782.642982041
2018,601061600,ZAF,NAM,drifting_longlines,23.10416667,"[20,25)",151,440.5120175,1773.947778,13.22236111,781445.3146264221
2018,601111600,ZAF,NAM,drifting_longlines,22.69166667,"[20,25)",151,373.1529947,1862.008333,28.22666667,694813.9856153049
2018,601126200,ZAF,NAM,drifting_longlines,21.70833333,"[20,25)",151,379.3507197,697.2301389,3.879305556,264494.754988246
2018,601137900,ZAF,NAM,pole_and_line,23.22916667,"[20,25)",170.025,360.6176948,2224.677222,1507.919722,802257.9714717077
2018,601151600,ZAF,NAM,drifting_longlines,22.66,"[20,25)",145,554.0332497,2192.154167,1311.771806,1214526.2969864067
2018,601189200,ZAF,NAM,drifting_longlines,21.1,"[20,25)",116,289.4211922,1543.182778,1102.829722,446629.799391268
2018,601204400,ZAF,NAM,pole_and_line,26.4,"[25,30)",196,362.1722265,2360.304583,1813.820972,854836.7660432642
2018,601274700,ZAF,NAM,drifting_longlines,23.15,"[20,25)",128.9366667,364.0606735,2665.979583,1.691666667,970578.3225242291
2018,601333500,ZAF,NAM,trawlers,33.52427758,"[30,35)",477,556.8916433,2996.922083,1.173888889,1668960.8636439291
2018,601391000,ZAF,NAM,pole_and_line,23.5,"[20,25)",224.895,350.322262,1191.154306,1175.22625,417287.87086896016
2018,601770000,ZAF,NAM,pole_and_line,29.615,"[25,30)",243,390.9700428,709.4070833,4.241666667,277356.9177204241
