flag,average_length
AFG,28.886415274
AGO,34.23213817571428
AIA,33.34411856333333
ALB,24.483580606344084
AND,21.90785152
ARE,34.53253991
ARG,51.78156594866197
ARM,21.133271585
ATF,41.78595581
ATG,26.50277117
AUS,37.37950897266666
AUT,18.309656115
AZE,29.651446732727273
BDI,27.92209464
BEL,30.146703500578514
BEN,22.386327276666666
BES,54.138700244
BFA,44.15232604
BGD,29.29547463
BGR,18.09285471
BHR,25.35858944101695
BHS,26.134685095000002
BIH,14.04176301
BLZ,66.3274762376
BMU,39.184619563333335
BOL,19.54471441
BRA,22.375469956666667
BRB,29.6514345075
BRN,24.511070510000003
BTN,25.91906154744186
BWA,19.94228366
CAF,18.478845343333333
CAN,28.071530763709678
CHL,61.06913043478261
CHN,33.102761781150896
CIV,50.446169250909094
CMR,41.797130955
COG,25.666427843333334
COK,29.501090425555557
COL,55.91440721357143
COM,36.94623469
CPV,83.71236508444444
CRI,36.02520806
CUB,30.77966892
CUW,81.00035461578948
CXR,19.245558505
CYP,34.579105632702706
CZE,39.46134476
DEU,40.70327501882353
DJI,18.56340942
DNK,32.629573662598965
DOM,34.69058269
DZA,28.315429512916666
ECU,65.14195978444445
EGY,27.226620136666668
ESP,33.886074324391664
EST,38.021072127636366
FIN,33.3448830604
FJI,35.11209245925926
FLK,64.3745823211111
FRA,29.64444082080214
FRO,54.35534524224
FSM,62.000989607735846
GBR,28.710909036601436
GCA,79.8
GEO,70.18084597571429
GHA,52.04204026
GIB,19.156645131
GIN,54.33791024285714
GMB,18.83457233
GNB,69.6105248815
GNQ,17.90118368222222
GRC,23.547331010375
GRD,33.6860687
GRL,54.00436257857143
GTM,73.349978995
GUF,25.1017064975
GUY,38.88109551
HND,16.1690541
HRV,26.741246423548386
HTI,23.02595912
HUN,28.4729739
IDN,22.143137795714285
IND,43.32921273714286
IRL,30.07709968973799
IRN,38.50569104411765
IRQ,23.613737588
ISL,54.51553688592357
ISR,21.916744426666668
ITA,23.664195803736263
JOR,26.814169995
JPN,49.474267051184434
KEN,35.94881423
KGZ,23.64012676
KHM,38.74317902
KIR,69.17490454333333
KNA,62.976084506153846
KOR,51.88377339547724
KWT,15.71492685
LBN,22.510274714
LBR,81.27670367
LBY,31.9575759505
LIE,18.432626486666667
LKA,22.550642693235293
LSO,21.55529492
LTU,41.73658132826531
LUX,37.244437446666666
LVA,33.280672514016395
MAC,26.287803725000003
MAR,45.036669224883724
MDA,21.932160395
MDG,19.8372312
MDV,33.465818805
MEX,68.02914286576923
MHL,66.85852135976191
MLT,24.077824923292685
MMR,19.64764038
MNE,23.258735446666666
MNG,29.37481058125
MOZ,35.411314906
MRT,35.99554830571429
MSR,24.66527573
MTQ,18.11057996
MUS,36.34845539214286
MWI,32.74581691875
MYS,26.913621235652172
NAM,41.79604125344827
NCL,22.81360531
NER,33.54098186
NGA,51.33422978
NIC,58.51308751285714
NIU,52.88025293333333
NLD,35.24053166773424
NOR,50.230954705040105
NPL,17.54204799
NRU,48.8044867025
NZL,44.4253791
OMN,23.40615229
PAN,45.00689695
PCN,32.60227985
PER,33.657600593333335
PHL,66.30362500296296
PNG,73.98672675494845
POL,24.83064101470803
PRK,28.488972221666668
PRT,32.793077377753626
PSE,20.96115263
PYF,20.492089485
QAT,17.49301276909091
REU,46.06535729189189
ROM,23.1125
RUS,67.53658082074098
RWA,30.15010181
SAU,36.2916967
SDN,23.7303873
SEN,39.80728285285714
SGP,26.32234346857143
SHN,32.24278374
SLB,64.18503248869565
SLE,39.21879006
SLV,77.4189982232258
SMR,20.66121608
SOM,26.47226802347826
SPM,29.34597513
SRB,21.24231085
SSD,39.894894945000004
STP,26.6283057925
SVK,27.544225326666666
SVN,15.803279485384614
SWE,27.300420313061224
SWZ,29.58431211
SYC,46.863054302592595
SYR,25.70480336
TCA,26.271366586666666
TGO,27.08072366
THA,24.670005072
TTO,21.78822188
TUN,28.908263546666667
TUR,29.199216769421966
TUV,73.67
TWN,39.43969445141536
TZA,37.44979468
UKR,51.52732275347826
UNK,81.75571604
URY,31.24161175396552
USA,42.552745815609754
VAT,17.56660637
VCT,49.619974147
VEN,47.1129776328
VGB,35.61155467
VUT,46.1455509992233
WLF,21.29332738
WSM,45.07919709
YEM,19.55795828
ZAF,29.498667926086956
ZMB,27.13307911
