flag,average_tonnage
AFG,87.498888032
AGO,330.84234949
AIA,394.4301661666667
ALB,143.0411254924301
AND,72.93717266
ARE,388.3855231
ARG,1077.915091700845
ARM,140.13976045
ATF,690.9008765355555
ATG,210.2678857
AUS,717.4448196806667
AUT,47.928874640000004
AZE,275.1936573727273
BDI,265.7572132
BEL,223.68158477198347
BEN,99.09426993
BES,747.1527358000001
BFA,513.3062638
BGD,944.4010036
BGR,45.03924949888889
BHR,92.63923260847457
BHS,286.3761449
BIH,20.66547753
BLZ,2136.4543755304
BMU,625.4343891666666
BOL,32.86369977
BRA,75.4964148
BRB,225.29566075
BRN,302.8479594
BTN,223.67093817186046
BWA,64.221385545
CAF,55.244933843333335
CAN,492.61236685516127
CHL,1579.8082608695652
CHN,362.68828142489747
CIV,678.5454545454545
CMR,344.85047445
COG,229.14760971
COK,184.93499472583335
COL,1015.5472799214285
COM,265.5261841116667
CPV,2559.0805005233333
CRI,210.34174720000001
CUB,84.82925313
CUW,2314.815789473684
CXR,158.37262986049998
CYP,475.57711305324324
CZE,1228.377039
DEU,1136.0020488090981
DJI,68.90149918
DNK,631.582875779587
DOM,432.2501777
DZA,164.07072756916668
ECU,1449.2710576222223
EGY,247.74606753
ESP,423.125910152225
EST,828.2811057763637
FIN,319.8228178016
FJI,203.50064680555556
FLK,1700.9259259259259
FRA,403.8154748217968
FRO,1775.4189239832
FSM,1252.7916045015095
GBR,414.5688361233842
GCA,2109
GEO,3025.8909012714284
GHA,638.8351647982456
GIB,57.783930132500004
GIN,1315.0540441
GMB,82.450395135
GNB,2765.766951225
GNQ,49.35624395740741
GRC,97.409965502125
GRD,192.2040022
GRL,1674.8645017523809
GTM,1962.7782234058334
GUF,129.54403075
GUY,186.3333279
HND,49.54104479
HRV,148.4547353232258
HTI,94.83561429
HUN,171.280261
IDN,129.99087624047618
IND,592.8949584428572
IRL,364.81348207008733
IRN,545.3404914288235
IRQ,261.943244577
ISL,1472.838786976433
ISR,74.23718518666666
ITA,109.52902707991208
JOR,212.067162115
JPN,494.9858963160406
KEN,457.1985584
KGZ,146.5910416125
KHM,395.4667972175
KIR,1649.3360036666666
KNA,1794.1325354046155
KOR,801.7224162543025
KWT,25.14906236
LBN,59.204649166
LBR,1944
LBY,200.88327791
LIE,55.4685391
LKA,72.60480658514706
LSO,68.48556946
LTU,1080.1907774160204
LUX,1141.26429087
LVA,367.3349470243443
MAC,149.1401687
MAR,880.3279744697675
MDA,175.48133413375
MDG,50.21724101
MDV,498.8047947
MEX,1467.0511501296153
MHL,1284.2777638333334
MLT,124.29617344329269
MMR,111.62735
MNE,77.09936608116666
MNG,229.98363768875
MOZ,295.53291464
MRT,271.89042269714287
MSR,179.8492719
MTQ,39.54981611
MUS,640.9191198999999
MWI,264.86618321375
MYS,107.88754837521739
NAM,650.9575595406897
NCL,116.44011725
NER,167.8646463
NGA,633
NIC,1204.9664939714285
NIU,755.7447065666668
NLD,689.4689252040545
NOR,1381.7640578431951
NPL,46.05235827
NRU,1174.1377245225
NZL,716.4028717170834
OMN,162.51771275500002
PAN,779.2777778835211
PCN,388.42728101
PER,414.57704565333336
PHL,1085.270936515
PNG,1581.3736132886597
POL,236.0449941771168
PRK,192.63782502833334
PRT,416.5775702752899
PSE,100.075549155
PYF,68.70259773
QAT,53.241677588181815
REU,993.903513854054
ROM,97.27
RUS,2344.9615892461443
RWA,323.0994789
SAU,117.7018931
SDN,263.5751262
SEN,614.1734953473016
SGP,202.08233928821429
SHN,428.47757744
SLB,1274.8032334456523
SLE,1613.5833579999999
SLV,2085.909413412903
SMR,21.15151049
SOM,223.98642116086955
SPM,165.03485898333332
SRB,61.776983799999996
SSD,290.3284292
STP,116.0217010225
SVK,121.06022035000001
SVN,24.969888656923075
SWE,320.49541700420815
SWZ,108.1943821
SYC,491.4246932
SYR,38.69738284
TCA,156.34549373333334
TGO,209.24331610666667
THA,84.51318401399999
TTO,68.05640202
TUN,180.2014652587879
TUR,153.52985310294798
TUV,1472.26116
TWN,383.9780109698364
TZA,287.47489119
UKR,1516.7257673956522
UNK,4269.5
URY,301.29963910793106
USA,799.81429122053
VAT,41.31677068
VCT,904.35814015
VEN,654.2235801412
VGB,353.8796371
VUT,550.1611959504854
WLF,68.39476234
WSM,682.5763603466667
YEM,84.09234911666667
ZAF,247.2585391547826
ZMB,28.00672214
