flag,total_vessels,total_kwhr,pct_effort,average_length,average_tonnage
RUS,436,8066668148.513974,0.1463,67.92821687660584,2355.4858406307685
CHN,6255,7367389940.759146,0.1336,35.14419442449261,414.04602617192006
TWN,810,6346253845.0322275,0.1151,39.866005436006404,375.50479750626886
NOR,367,5190230119.244764,0.0942,52.06884755588917,1490.760522092383
KOR,363,3020955350.2385125,0.0548,53.31889598244441,799.2734563806479
JPN,286,2589155531.971088,0.047,49.02134588022663,478.34231183220555
FRA,494,1840859623.7254975,0.0334,31.372134720825077,461.9339191307945
ESP,688,1698928220.8199089,0.0308,34.399316394108624,433.0332131586333
ISL,89,1623234192.5365102,0.0294,54.26134565791022,1463.9342713495655
DNK,295,1438732632.5715992,0.0261,33.18220686765833,667.7585182329293
NLD,249,1293677289.5803416,0.0235,35.75762717037821,729.2722940081314
FRO,50,1255390574.3242936,0.0228,54.61962014609039,1779.4227101775361
DEU,132,1175690040.079087,0.0213,42.16015659867768,1226.8727089203055
ARG,110,1175564560.6264932,0.0213,52.37881680980243,1105.1732382201674
USA,270,866037364.7833728,0.0157,42.790633545114446,820.0717179987771
GBR,393,804124348.9860864,0.0146,29.36659204429137,444.3149549142804
VUT,48,621458555.0667747,0.0113,49.64108323728293,581.9356002780465
ITA,667,552065176.8894787,0.01,23.664195803713277,109.52902708012687
EST,26,466175590.5777193,0.0085,40.881688401968546,934.8784002851
PNG,18,427276584.86338395,0.0078,73.99448108709198,1573.285287632393
CAN,117,423704766.4342895,0.0077,30.058679956707312,643.865728805503
FSM,29,422899813.27816236,0.0077,62.092904937431854,1264.6625430074832
PRT,92,410402577.11810714,0.0074,35.15113001387909,481.22316950853855
LTU,28,382155747.9593826,0.0069,44.15079665902508,1262.0358853084213
BEL,75,346395647.27642,0.0063,30.146703500305623,223.68158477184977
SWE,147,299173741.5708275,0.0054,27.300420312867995,320.495417006529
SYC,36,281398862.69343203,0.0051,47.39579098365857,505.2395759399872
FLK,15,268225869.26580626,0.0049,65.17280035911341,1732.3333333333333
CHL,13,223153667.0180293,0.004,60.9753488372093,1545.6413953488372
GRL,13,217879481.37791106,0.004,54.63766078129489,1792.0642869409564
MEX,24,207725953.51134232,0.0038,69.83437425940375,1528.8147367278682
KIR,12,202764333.34797943,0.0037,68.38591285197391,1610.994285568228
POL,126,192117884.5360971,0.0035,25.1965235723978,258.09177048213724
MHL,10,163305756.3452924,0.003,67.52323305693483,1296.1547514460194
FJI,31,162799936.8472615,0.003,35.63844711687619,206.76086517682117
GHA,31,162307728.74753487,0.0029,55.339075648090294,732.8217017304239
IRL,176,156870834.56900936,0.0028,30.15500496681122,366.84097177725806
BLZ,23,144357470.4773374,0.0026,66.54425730677627,2077.02728216431
UKR,9,144114930.896826,0.0026,57.404560385280476,1758.5164916745023
SEN,40,132961105.62946567,0.0024,41.5486573225826,702.9509795708582
GNB,9,119235350.03204986,0.0022,68.51559638763334,2674.936624302233
NZL,16,118898478.1620425,0.0022,48.71742095242625,1008.8446824939067
LKA,79,117411973.02731797,0.0021,22.306515454773997,67.96132824214128
CUW,7,116159230.64802396,0.0021,81.57462952678883,2350.6382978723404
LVA,57,107205162.9073592,0.0019,34.02803211676111,386.8639963251365
SLV,7,105276928.33032614,0.0019,78.43498047193171,2157.1457680276685
PHL,20,104821159.25606865,0.0019,66.11065948566724,1085.3384581289572
VCT,7,91380563.49004434,0.0017,44.63164966877014,640.3305296609091
URY,51,89997659.17014462,0.0016,32.33666706880737,322.30760425645536
CYP,26,89599093.40131934,0.0016,35.04600112751688,492.3513995610443
MYS,12,85721169.85036701,0.0016,27.525180716529146,112.70623410738605
COL,11,81890373.63176514,0.0015,59.2787895990335,1140.6208670113328
COK,18,78506971.93383259,0.0014,30.60223757008484,217.315275500443
FIN,29,74274185.00369918,0.0013,33.344883060296056,319.822817800169
NAM,21,74106454.89396971,0.0013,41.48907440825271,640.3796524761576
PAN,40,68740536.43874449,0.0012,48.06538629800166,894.2547010740109
SLB,7,64531471.92734953,0.0012,65.27660956527356,1310.6860357417338
VEN,25,58941692.84275584,0.0011,49.094471829690114,687.2635884689228
