flag,total_vessels,total_effort,total_kwhr
RUS,436,4227039.220987462,11255228628.04143
CHN,6255,11285189.843214355,8145229902.288718
TWN,810,8168302.056937729,6545346733.68246
NOR,367,2580864.982905232,6487145702.147129
KOR,363,2728462.7685986008,3165479605.161114
JPN,286,3393110.139212535,2906603958.0711603
FRA,494,3152246.79224021,2278264646.4182854
ISL,89,859353.55180318,2113510050.093347
ESP,688,3795736.751354503,1875586587.3887804
DNK,295,1612288.137205705,1692346603.2627227
NLD,249,1715239.336391751,1655153951.1628006
FRO,50,670979.801247664,1498723812.0185907
ARG,110,893947.267885047,1486982634.92
DEU,132,583513.665409684,1300096044.0459738
GBR,393,1785919.456664412,1159891780.1590343
USA,270,807790.023615059,1020537206.9099942
ITA,667,2423452.82876028,872077051.7986422
CAN,117,409943.61846845,790424273.2582363
VUT,48,745650.10014127,629924695.5598298
PRT,92,750355.1415184,507133497.37502474
PNG,18,179086.58887714,492803372.3765134
FSM,29,242153.3384819,487145686.90326047
EST,26,196153.99819790001,472849642.34643
LTU,28,166586.5634816,387579556.6613064
SWE,147,410380.962906294,378601544.86123836
BEL,75,559674.036108338,376311146.62571174
SYC,36,412689.29790521,363020066.2096643
FLK,15,175304.063742,356857723.55400676
GRL,13,142198.33667005601,349343259.11920696
CHL,13,171675.8088924,321376632.711673
MEX,24,91842.41694382,288681529.39883363
IRL,176,586223.369304001,276901947.5029996
KIR,12,86110.44707843,248451069.50470924
POL,126,349176.92319477,229348130.3627759
GHA,31,137428.1933379,209928626.35934207
FJI,31,435646.14750461,203335995.20258766
SEN,40,295664.81278034,189473569.1689854
MHL,10,75322.0769515,187094946.9169863
GNB,9,61660.135557984,173633721.7665966
URY,51,281053.44208864,163434149.99124378
NZL,16,89343.663061399,151282777.8750857
UKR,9,63617.052499704,144543319.338285
BLZ,23,63061.624583164,144357470.4776554
LKA,79,379582.70819924,143792312.15121025
LVA,57,185555.7895897,119584499.34715353
NAM,21,115962.39194177,119287620.13485001
CUW,7,29891.6483337,116159230.64693004
PHL,20,44875.951113808,111433011.23590626
FIN,29,115296.276941156,109917809.4288373
SLV,7,31826.71166865,105276928.33805108
COL,11,44284.87986399,100274854.76752679
VCT,7,74829.586388412,91380563.50538586
CYP,26,59781.672641466,90143863.93534535
MYS,12,144892.04930487,86673819.40142615
COK,18,154255.914446338,84526387.9404826
TUR,316,275995.096803856,78000735.456112355
AGO,18,135710.82486115998,73438158.82413201
SLB,7,26081.31999568,73051778.89637284
PAN,40,62303.621522857,69819064.60740171
ZAF,22,130195.22971769,67569597.19036973
VEN,25,37633.997775922,62591089.185723595
MAR,31,87774.098889606,62251860.26379928
GRC,68,186937.963749037,53161807.73641473
GIN,4,17980.286250012,37560041.69431519
CIV,2,41123.2756922,37457145.39206591
REU,21,86711.756110512,36253493.20372908
CPV,2,6475.448055556,34561079.92411462
HRV,30,61358.35805422,33270621.061083686
ECU,9,16977.176249234,31779967.163553245
GTM,4,8218.2758331,28061519.706104536
MOZ,5,31316.189722,25313737.48912122
ALB,82,64204.147495917,23844347.902406402
NIC,5,9102.80958212,23808621.70557676
MRT,11,41430.21722149,23728756.072378933
MLT,47,64916.211526598,21475155.95448068
AUS,10,25461.39597178,21368960.147720847
MUS,9,29927.598332129997,19599682.094076917
LBR,1,5310.923611,18180528.514225855
BHR,58,45332.83152782,18119520.485419013
TZA,2,18031.660556,16722990.743878469
PER,3,10420.807220421999,14657647.26870675
SVK,3,25555.9037518,12271346.25955201
COM,4,10516.3058321,10464002.932652872
KNA,8,8541.57958442,9790195.759265741
IRN,16,15610.860278306,9707741.839678204
NCL,5,26483.62791678,9112796.19387396
SHN,6,6762.998194717,8586857.198878424
GCA,1,2316.7033336,8090525.229133018
KHM,3,6826.73916622,6249953.364821823
NGA,1,4355.510278,5521458.9241769705
TUN,19,9789.920278539,4690083.470811418
MNG,6,10736.891249333,4538639.909722413
QAT,11,21762.2701359,4426381.584886998
BGR,18,16674.10986113,3919243.1575026913
NRU,3,1243.05458347,3881163.360466064
SPM,4,5508.9995839,3691619.476053657
BES,2,2759.8316667,3344882.5111970217
IDN,16,10245.782500741,2913876.275295582
BRA,3,6986.8938882,2668868.5390010583
ATF,7,1273.439583442,2603352.4279733947
TCA,2,5315.1243064,2570575.3967009136
BTN,39,9472.227361227,2424661.7889981545
HUN,1,5481.51375,2378567.5773566733
GUF,3,5159.0333327,2259839.1949030687
UNK,2,2345.90444466,2016042.918781644
SVN,7,11342.84888879,1829201.7078245366
LBY,13,2429.55847215,1628487.2495133227
MNE,5,6013.4991675,1611440.09461896
IRQ,9,3206.93944502,1570816.130404272
GEO,6,660.7738888060001,1328064.6969237481
MDV,3,1763.30527773,1252529.3722130675
KEN,1,2200.2058332,1209988.7285346985
BMU,3,847.085833356,1165551.7380971068
WSM,4,3157.63222239,1154955.1453541461
DZA,10,2854.03624993,1149266.2802993988
PSE,4,4020.2772218,1110279.2053207508
LBN,9,4630.056944211,1076647.503923858
SGP,13,2131.738333403,913243.1677880029
AZE,11,3074.7609721880003,823662.0946583342
AIA,3,631.69583329,770444.1708386786
STP,4,2089.595416557,686783.5130786746
SOM,22,1812.635694452,610116.152590742
CMR,2,875.771388956,603144.9618665635
CAF,12,3151.69958325,566458.3587394768
PYF,3,1736.2120834,531923.1762336255
CRI,2,263.052638956,512704.81315347436
MDA,7,1378.962222329,446183.63522205135
NIU,2,473.99972218000005,419539.93380461057
GNQ,12,2378.667083434,401415.38111351745
ROM,4,1284.8504167,388349.2331775
YEM,5,1794.5047221999998,372693.9513973197
KGZ,4,1222.69152779,367839.95558285224
BEN,3,1856.37055557,353853.1874367753
GMB,2,1947.2722224,339025.76043811976
AFG,5,688.679722185,337953.4838270626
WLF,2,679.570833333,311726.84283661976
TUV,1,115.57097223,307441.96192557423
EGY,3,988.642638832,293656.3012101111
PRK,5,693.83611121,290460.579668449
JOR,3,801.9048611000001,288213.1466129499
IND,5,462.515555578,234755.0763492183
DJI,1,683.5944444,217130.6129260709
ISR,3,973.48708331,204410.48370967308
AUT,2,1005.5506945,203587.69906328846
GIB,4,1039.79958328,193776.31289701443
MWI,8,633.9488889940001,185265.73853084524
THA,4,927.903749944,181864.3988365142
COG,6,583.42027777,167169.32333720964
NPL,1,881.0965278,156754.58020724304
LUX,3,455.52527779,151419.52124667057
MTQ,1,786.1586111,143960.26408534474
OMN,2,571.7880555,143472.12330033793
MAC,2,578.283333289,133921.55644406078
PCN,5,422.93527779,131832.23928943643
CXR,4,719.2722221700001,118112.38300012755
HTI,2,425.4620834,84886.14188798674
ARM,2,186.25847218,64250.25446198094
LIE,3,324.42875,60049.71209752783
SRB,1,317.2147222,59816.167552417784
TGO,2,285.35472223,55659.008678588914
CUB,1,205.8381944,54583.611214322606
BHS,2,136.307500022,51469.73191186587
VAT,1,422.0290278,48976.93687519344
SLE,2,85.32444445,48661.96844616998
KWT,1,301.7356944,44099.0061502301
GUY,1,48.49277778,35748.52750428598
TTO,1,162.87,33331.616483106
MMR,1,211.0268056,33181.3107377204
AND,1,220.51986110000001,28990.322153865938
MSR,1,85.05888889,26790.40450562707
SAU,1,87.52819444,21855.04279217977
NER,1,36.42541667,20280.5774035149
BWA,2,79.74708333,20209.80026653043
MDG,1,72.36361111,20171.80707486438
ZMB,1,132.9943056,19714.502377398818
BFA,1,41.31305556,17939.788835582705
CZE,1,37.25458333,16751.722818119066
BOL,1,48.62388889,13035.561728562932
BIH,1,76.18569444,11392.734427412675
VGB,1,21.42805556,10937.376050156938
SSD,2,16.73763889,8029.617484741945
HND,1,44.45388889,7371.9232766183695
SMR,1,55.46513889,6577.753737988477
ATG,1,14.35583333,6003.359609486391
BRN,2,16.536388888,4202.020136202138
BRB,4,9.987916666,3794.1164556112158
LSO,1,15.9575,2362.83223512375
DOM,1,4.084444444,2271.868631478122
SWZ,1,5.776388889,1841.3803558308362
ARE,1,3.774305556,1139.8987400179096
SYR,1,2.676666667,863.8211277679076
GRD,1,2.139861111,800.3264138104435
BDI,1,0.675416667,268.8501361224336
BGD,1,0.166666667,98.91957273117248
SDN,1,0.238194444,58.935622052602106
RWA,1,0.176805556,57.01388645138794
