flag,vessel_class,number_vesselclass
AFG,drifting_longlines,2
AFG,other_purse_seines,1
AFG,set_longlines,1
AFG,trawlers,1
AGO,fishing,1
AGO,other_purse_seines,3
AGO,set_gillnets,1
AGO,trawlers,12
AGO,tuna_purse_seines,1
AIA,set_longlines,1
AIA,trawlers,1
AIA,tuna_purse_seines,1
ALB,dredge_fishing,1
ALB,drifting_longlines,20
ALB,fishing,9
ALB,fixed_gear,4
ALB,other_purse_seines,3
ALB,pole_and_line,1
ALB,set_gillnets,11
ALB,set_longlines,6
ALB,squid_jigger,1
ALB,trawlers,19
ALB,tuna_purse_seines,7
AND,set_gillnets,1
ARE,fishing,1
ARG,drifting_longlines,22
ARG,fishing,14
ARG,pots_and_traps,1
ARG,set_gillnets,1
ARG,set_longlines,2
ARG,squid_jigger,46
ARG,trawlers,24
ARM,trawlers,2
ATF,drifting_longlines,1
ATF,other_purse_seines,1
ATF,trawlers,2
ATF,tuna_purse_seines,3
ATG,set_gillnets,1
AUS,drifting_longlines,2
AUS,fishing,1
AUS,pole_and_line,1
AUS,trawlers,6
AUT,drifting_longlines,1
AUT,set_gillnets,1
AZE,fishing,1
AZE,set_gillnets,2
AZE,set_longlines,1
AZE,trawlers,4
AZE,tuna_purse_seines,3
BDI,tuna_purse_seines,1
BEL,fishing,2
BEL,other_purse_seines,1
BEL,other_seines,1
BEL,set_gillnets,3
BEL,set_longlines,1
BEL,trawlers,66
BEL,trollers,1
BEN,drifting_longlines,2
BEN,tuna_purse_seines,1
BES,drifting_longlines,1
BES,trawlers,1
BFA,fishing,1
BGD,tuna_purse_seines,1
BGR,fishing,1
BGR,set_gillnets,2
BGR,set_longlines,1
BGR,trawlers,14
BHR,drifting_longlines,7
BHR,fishing,12
BHR,fixed_gear,4
BHR,other_purse_seines,21
BHR,pole_and_line,1
BHR,purse_seines,6
BHR,set_gillnets,1
BHR,set_longlines,5
BHR,trollers,1
BHS,trawlers,1
BHS,tuna_purse_seines,1
BIH,set_gillnets,1
BLZ,drifting_longlines,2
BLZ,purse_seines,1
BLZ,trawlers,13
BLZ,tuna_purse_seines,7
BMU,fishing,1
BMU,tuna_purse_seines,2
BOL,dredge_fishing,1
BRA,drifting_longlines,1
BRA,fishing,1
BRA,trawlers,1
BRB,drifting_longlines,1
BRB,fishing,1
BRB,pots_and_traps,1
BRB,tuna_purse_seines,1
BRN,other_purse_seines,1
BRN,tuna_purse_seines,1
BTN,dredge_fishing,2
BTN,drifting_longlines,7
BTN,fishing,4
BTN,fixed_gear,1
BTN,other_purse_seines,1
BTN,set_gillnets,9
BTN,set_longlines,1
BTN,trawlers,11
BTN,tuna_purse_seines,3
BWA,drifting_longlines,1
BWA,other_purse_seines,1
CAF,dredge_fishing,2
CAF,drifting_longlines,1
CAF,fishing,1
CAF,other_purse_seines,3
CAF,purse_seines,1
CAF,set_gillnets,2
CAF,trawlers,2
CAN,drifting_longlines,11
CAN,fishing,27
CAN,fixed_gear,3
CAN,other_purse_seines,10
CAN,pole_and_line,3
CAN,pots_and_traps,5
CAN,set_gillnets,1
CAN,set_longlines,1
CAN,trawlers,40
CAN,trollers,16
CHL,drifting_longlines,1
CHL,set_longlines,6
CHL,trawlers,5
CHL,tuna_purse_seines,1
CHN,dredge_fishing,80
CHN,drifting_longlines,860
CHN,fishing,1473
CHN,fixed_gear,272
CHN,other_fishing,1
CHN,other_purse_seines,27
CHN,other_seines,1
CHN,pole_and_line,12
CHN,pots_and_traps,14
CHN,purse_seines,32
CHN,set_gillnets,586
CHN,set_longlines,252
CHN,squid_jigger,174
CHN,trawlers,1870
CHN,trollers,2
CHN,tuna_purse_seines,599
CIV,drifting_longlines,1
CIV,fishing,1
CMR,drifting_longlines,1
CMR,tuna_purse_seines,1
COG,drifting_longlines,2
COG,fishing,1
COG,other_purse_seines,1
COG,set_gillnets,1
COG,trawlers,1
COK,drifting_longlines,13
COK,fishing,2
COK,set_gillnets,1
COK,trawlers,1
COK,tuna_purse_seines,1
COL,drifting_longlines,1
COL,set_gillnets,1
COL,tuna_purse_seines,9
COM,drifting_longlines,1
COM,fishing,1
COM,squid_jigger,1
COM,trawlers,1
CPV,trawlers,1
CPV,tuna_purse_seines,1
CRI,drifting_longlines,1
CRI,tuna_purse_seines,1
CUB,trawlers,1
CUW,trawlers,1
CUW,tuna_purse_seines,6
CXR,dredge_fishing,1
CXR,other_purse_seines,1
CXR,set_gillnets,1
CXR,tuna_purse_seines,1
CYP,drifting_longlines,2
CYP,fishing,4
CYP,other_purse_seines,1
CYP,set_gillnets,4
CYP,set_longlines,5
CYP,trawlers,9
CYP,tuna_purse_seines,1
CZE,tuna_purse_seines,1
DEU,dredge_fishing,4
DEU,drifting_longlines,2
DEU,fishing,3
DEU,fixed_gear,3
DEU,set_gillnets,5
DEU,set_longlines,1
DEU,trawlers,110
DEU,tuna_purse_seines,4
DJI,trawlers,1
DNK,fishing,11
DNK,fixed_gear,4
DNK,other_purse_seines,1
DNK,other_seines,4
DNK,set_gillnets,20
DNK,set_longlines,7
DNK,trawlers,247
DNK,trollers,1
DOM,tuna_purse_seines,1
DZA,fishing,4
DZA,other_purse_seines,5
DZA,set_gillnets,1
ECU,drifting_longlines,3
ECU,pots_and_traps,1
ECU,tuna_purse_seines,5
EGY,other_purse_seines,1
EGY,other_seines,1
EGY,set_gillnets,1
ESP,dredge_fishing,2
ESP,drifting_longlines,124
ESP,fishing,36
ESP,fixed_gear,25
ESP,other_purse_seines,137
ESP,pole_and_line,11
ESP,purse_seines,3
ESP,set_gillnets,45
ESP,set_longlines,72
ESP,trawlers,203
ESP,tuna_purse_seines,30
EST,trawlers,26
FIN,fishing,2
FIN,trawlers,27
FJI,dredge_fishing,1
FJI,drifting_longlines,29
FJI,set_gillnets,1
FLK,set_longlines,1
FLK,trawlers,14
FRA,dredge_fishing,7
FRA,drifting_longlines,12
FRA,fishing,14
