flag,total_kwhr,pct_effort
RUS,11255228628.042107,0.1694
CHN,8145229902.33082,0.1226
TWN,6545346733.729182,0.0985
NOR,6487145702.173351,0.0977
KOR,3165479605.1567707,0.0477
JPN,2906603958.0497956,0.0438
FRA,2278264646.402426,0.0343
ISL,2113510050.0182867,0.0318
ESP,1875586587.3924274,0.0282
DNK,1692346603.271073,0.0255
NLD,1655153951.1623363,0.0249
FRO,1498723812.0069933,0.0226
ARG,1486982634.954381,0.0224
DEU,1300096044.0990732,0.0196
GBR,1159891780.1552851,0.0175
USA,1020537206.8925799,0.0154
ITA,872077051.7959765,0.0131
CAN,790424273.2700262,0.0119
VUT,629924695.5537007,0.0095
PRT,507133497.38345116,0.0076
PNG,492803372.4093179,0.0074
FSM,487145686.8746941,0.0073
EST,472849642.33011633,0.0071
LTU,387579556.6368826,0.0058
SWE,378601544.878553,0.0057
BEL,376311146.6247942,0.0057
SYC,363020066.2226908,0.0055
FLK,356857723.56718534,0.0054
GRL,349343259.090165,0.0053
CHL,321376632.6970683,0.0048
MEX,288681529.4085342,0.0043
IRL,276901947.5026619,0.0042
KIR,248451069.53339228,0.0037
POL,229348130.3601544,0.0035
GHA,209928626.35594726,0.0032
FJI,203335995.20077744,0.0031
SEN,189473569.16858613,0.0029
MHL,187094946.8948782,0.0028
GNB,173633721.77648827,0.0026
URY,163434149.98873553,0.0025
NZL,151282777.86863416,0.0023
UKR,144543319.3448165,0.0022
BLZ,144357470.4773374,0.0022
LKA,143792312.1493916,0.0022
LVA,119584499.34777586,0.0018
NAM,119287620.13935226,0.0018
CUW,116159230.64802396,0.0017
PHL,111433011.22889015,0.0017
FIN,109917809.43084039,0.0017
SLV,105276928.33032614,0.0016
COL,100274854.75582609,0.0015
VCT,91380563.49004434,0.0014
CYP,90143863.93843463,0.0014
MYS,86673819.40269251,0.0013
COK,84526387.93608955,0.0013
TUR,78000735.45658073,0.0012
AGO,73438158.82157984,0.0011
SLB,73051778.90910687,0.0011
PAN,69819064.6102992,0.0011
ZAF,67569597.19390386,0.001
VEN,62591089.19001846,9e-4
MAR,62251860.263106234,9e-4
GRC,53161807.736499235,8e-4
GIN,37560041.69474307,6e-4
CIV,37457145.395538315,6e-4
REU,36253493.203442775,5e-4
CPV,34561079.925859995,5e-4
HRV,33270621.06228608,5e-4
ECU,31779967.164845306,5e-4
GTM,28061519.705519225,4e-4
MOZ,25313737.48814743,4e-4
ALB,23844347.90346644,4e-4
NIC,23808621.708780847,4e-4
MRT,23728756.073390856,4e-4
MLT,21475155.954815634,3e-4
AUS,21368960.147463277,3e-4
MUS,19599682.094403543,3e-4
LBR,18180528.512113113,3e-4
BHR,18119520.485256057,3e-4
TZA,16722990.742049158,3e-4
PER,14657647.272964321,2e-4
SVK,12271346.259761281,2e-4
COM,10464002.935799552,2e-4
KNA,9790195.758803835,1e-4
IRN,9707741.839215986,1e-4
NCL,9112796.19381475,1e-4
SHN,8586857.198542478,1e-4
GCA,8090525.228059503,1e-4
KHM,6249953.365562873,1e-4
NGA,5521458.922194437,1e-4
TUN,4690083.470420012,1e-4
