year,eez_code,eez_territory_iso3,flag,lat_cen,lon_cen,fishing_hours,fishing_days,fishing_KWh,subs
2018,8479,TZA,CHN,-9.049999999999999,41.75,29.748888888888885,9,23929.222918154166,17672.449001744397
2018,8479,TZA,CHN,-9.85,40.95,16.515555555555558,8,14110.455269236114,10420.994529988948
2018,8479,TZA,CHN,-9.25,41.45,27.42736111111111,10,22262.58015587778,16441.58332252042
2018,8479,TZA,CHN,-8.65,40.95,15.751944444444442,6,12528.87713222639,9252.951628463155
2018,8479,TZA,CHN,-9.35,42.15,33.74694444444444,21,28278.623498651385,20884.611812459007
2018,8479,TZA,CHN,-9.65,42.05,8.866666666666667,5,8096.933731238889,5979.828468531856
2018,8479,TZA,CHN,-9.75,40.45,9.897916666666665,7,9110.527634059723,6728.397973582127
2018,8479,TZA,CHN,-9.35,40.65,19.171666666666667,10,14723.455846413888,10873.713846252049
2018,8479,TZA,CHN,-8.85,40.65,12.909444444444444,6,10834.149189240277,8001.344200729623
2018,8479,TZA,CHN,-9.35,41.75,45.14513888888889,22,34801.16879283472,25701.707188572225
2018,8479,TZA,CHN,-9.45,41.95,26.065277777777784,16,21450.295826631947,15841.686976842495
2018,8479,TZA,CHN,-9.75,41.05,16.177777777777777,7,12598.155235319446,9304.11558594047
2018,8479,TZA,CHN,-8.45,40.75,12.832222222222223,2,11613.852511244446,8577.178495129361
2018,8479,TZA,CHN,-7.3500000000000005,41.55,1.251111111111111,1,924.1633489777778,682.5223581205582
2018,8479,TZA,CHN,-8.85,40.45,16.365,10,14597.266814552779,10780.519460551664
2018,8479,TZA,CHN,-9.45,41.05,19.249444444444443,11,14921.569143533332,11020.026459573672
2018,8479,TZA,CHN,-9.75,40.65,20.05375,11,16568.20991893611,12236.120071431887
2018,8479,TZA,CHN,-9.65,41.05,22.591805555555556,11,18342.61769630833,13546.573447254596
2018,8479,TZA,CHN,-9.35,41.35,33.577083333333334,15,23255.831951252778,17175.129570958714
2018,8479,TZA,CHN,-9.55,42.05,25.40319444444445,13,19790.5462832125,14615.91214654093
2018,8479,TZA,CHN,-8.15,41.95,15.595000000000002,4,13016.317408286113,9612.940895541542
2018,8479,TZA,CHN,-9.049999999999999,40.85,7.778333333333333,5,6640.934730243056,4904.529526326404
2018,8479,TZA,CHN,-9.25,40.35,19.28472222222222,8,14753.45925342639,10895.872262432991
