geoname,eez_id,n_vessels,mean_length,mean_tonnage,tot_tonnage,mean_engine_power,tot_engine_power,fishing_hours,fishing_KWh,bad_subs,ugly_subs,mark
Solomon Islands Exclusive Economic Zone,8314,194,44.18526900525178,586.544673436653,143703.44499197998,1237.3246735523987,303144.5450203377,311275.24861111265,190018900.79590192,98343351.55254835,8779696.693987394,none
Micronesian Exclusive Economic Zone,8316,284,49.63647487221741,727.3929954984948,257497.12040646715,1509.851547838475,534487.4479348201,199315.72916666645,190503935.32032496,201350154.90098056,19798482.682744298,none
Overlapping claim Falkland / Malvinas Islands: UK / Argentina,8389,105,65.76049345620403,1093.6568729298954,284350.78696177277,1725.3190545829887,448582.95419157704,166872.2494444434,282068234.88775575,179021198.50784838,3163351.3431330114,is_overlapping
Overlapping claim Falkland / Malvinas Islands: UK / Argentina,8389,105,65.76049345620403,1093.6568729298954,284350.78696177277,1725.3190545829887,448582.95419157704,166872.2494444434,282068234.88775575,179021198.50784838,3163351.3431330114,is_overlapping
Mauritanian Exclusive Economic Zone,8369,144,50.74954589871175,1352.2987220790271,297505.718857386,1617.6290379604177,355878.3883512919,165824.38277777782,99788914.96183217,110470790.72196677,6031812.753270965,none
Brazilian Exclusive Economic Zone,8464,132,25.825564139438228,221.0960707427473,51515.38448306012,443.86717440777363,103421.05163701126,149191.0777777778,50614657.03515516,1292513.3884842545,56880.89921207753,multi-eez
Papua New Guinean Exclusive Economic Zone,8324,170,58.46964627946295,943.4583774092104,198126.2592559342,1915.8556170170295,402329.6795735762,143340.5336111111,168889155.9055293,251132147.2271973,12498819.252441164,none
Vanuatu Exclusive Economic Zone,8313,71,34.31255686144511,219.13245678519954,17311.464086030763,452.62772967276993,35757.590644148826,140198.43444444487,58094632.35962039,53708319.84150085,7621509.813595619,overlapping
Taiwanese Exclusive Economic Zone,8321,1986,27.580950462514927,195.81030367734158,419621.480780543,347.11160295761084,743860.16513816,139802.76333333334,40631808.906771556,39443741.71484308,4893872.38589393,overlapping
Mauritian Exclusive Economic Zone,8343,212,38.13073438184981,359.827285243086,106149.04914671039,849.6593639778938,250649.51237347868,139243.65611111093,91359388.8174001,36127612.20524063,1317256.1535359868,multi-eez & overlapping
Madagascan Exclusive Economic Zone,8348,115,36.84534669130555,363.8833481704941,43666.00178045929,821.5443815310634,98585.3257837276,125186.31722222196,82046022.08873813,64716385.41746613,5095246.751732859,overlapping
Nigerian Exclusive Economic Zone,8474,76,27.78786782708349,190.5635131713481,28775.09048887356,591.0356920869341,89246.38950512704,124553.36055555556,74163443.73132634,1460472.9851177803,202431.49283563174,joint
Seychellois Exclusive Economic Zone,8337,167,50.918887681740294,779.3499625689668,141841.69318755195,1350.2943693792154,245753.5752270172,96924.98166666654,84544136.97340849,35484041.18742007,2409127.533296607,none
