flag_iso3,flag_is_EU,n_vessels,mean_length,mean_tonnage,tot_tonnage,mean_engine_power,tot_engine_power,fishing_hours,fishing_KWh,bad_subs,ugly_subs
CHN,FALSE,4615,34.02804927770068,383.96050603057154,2481536.7504755836,497.84567500272436,3217576.5975426077,962317.7377777785,579338960.2715036,629000467.7270223,92336296.44743924
TWN,FALSE,863,38.02345218314463,358.55419375650195,618864.5384237224,877.323014937632,1514259.523782353,699150.4088888891,600785712.9812552,178349225.75288728,2498425.1868070085
EU,TRUE,954,38.229239843007576,674.8316884172405,1338191.2381313879,1011.6924797263938,2006186.187297439,578149.0136111114,524822797.9194234,277461366.2985985,16131146.395544734
NA,FALSE,474,26.629574535158334,226.77452962414407,211580.63613932644,464.8183163701801,433675.48917337804,422553.28138888883,194996435.35731244,0,0
ESP,TRUE,217,46.82777800856486,783.7285218583585,535286.5804292589,1167.3213225836748,797280.46332465,251087.3933333335,178872651.67796206,168364188.47165573,1523807.3452942276
JPN,FALSE,221,48.29752962049775,490.2893364704677,257401.90164699554,1035.8723838117755,543833.0015011822,206805.05194444396,173465256.59105104,240461991.0311569,20701689.917172577
RUS,FALSE,352,69.77414700820826,2540.330436220139,2027183.6881036707,2627.8088950401493,2096991.498242039,152000.75638888899,441687282.7723527,167515577.9577817,7948546.804658133
KOR,FALSE,333,50.12955536527995,711.9579826309209,527560.8651295124,1400.6982129123262,1037917.3757680337,134849.1852777771,157530333.96832564,217222928.74741045,6717075.596519448
ITA,TRUE,223,26.866806113593476,170.8623170565057,54505.079141025315,479.00464650737007,152802.48223585106,94087.99861111141,55370210.106270775,12838250.830763914,5345379.352198259
FRA,TRUE,163,33.3931849016136,525.9779804420203,221962.7077465326,1027.994605590424,433813.7235591589,90521.63805555551,59767335.19861906,10819993.034830173,1387516.703200718
DNK,TRUE,21,52.68712769893098,2070.619677093636,124237.18062561813,2195.6819385137837,131740.91631082701,63387.43944444445,130927229.18946971,15967820.3316359,4975087.285348849
VUT,FALSE,40,46.55995858346893,572.9815625521427,56725.174692662134,1111.5995694296894,110048.35737353926,54241.933333333174,36311800.8402656,2081535.150781286,0
