flag_iso3,n_vessels,mean_length,mean_tonnage,tot_tonnage,mean_engine_power,tot_engine_power,fishing_hours,fishing_KWh,bad_subs,ugly_subs
TWN,805,39.43190529623436,342.187184553788,461268.3247785062,843.9288944399751,1137616.1497050864,2246948.7075000037,1607195818.0735419,477112094.36772645,6683678.4318323415
CHN,947,50.36726895312544,725.4661824789493,1154216.6963240085,994.2725601496396,1581887.6431980766,1696864.0319444465,1600524440.0790503,1737722974.727015,255095046.7775405
JPN,471,39.82030387711905,329.608626266281,280826.5495788714,795.5409172658607,677800.8615105134,717232.7594444453,501718741.53783435,695495397.1691066,59876115.92698689
EU,355,39.79380322641165,698.898498759351,408156.723275461,928.4561744201621,542218.4058613747,467375.24222222524,359008835.8243149,240367038.0250412,4323580.145657187
KOR,130,55.03356710576566,648.783233657815,160898.24194713813,1197.2471422210892,296917.29127083014,339395.7972222304,326106845.61989754,449677737.0152534,13905158.958221886
ESP,218,35.95005054826102,461.8353918486484,176882.95507803233,629.9966683553317,241288.72398009207,312835.7008333356,173391181.35028502,163204745.17670003,1477110.9684586863
USA,214,31.283712755632543,434.43278087865747,109042.62800054302,763.0486791522115,191525.2184672051,294431.2097222218,127420267.73205933,143197362.00024018,14257230.061816923
VUT,60,51.69299786869454,577.9475004157861,83224.44005987319,1030.474237421842,148388.29018874525,186324.043055556,170056129.03438634,9748285.736309519,0
SYC,54,50.88039818201657,684.630715279344,47924.15006955408,1253.622828865197,87753.5980205638,114486.83500000012,102517212.72558133,20643881.90465159,0
PRT,60,35.3621810536076,489.3342577642495,50890.76280748195,687.4261904328681,71492.32380501828,114296.3058333337,87488357.5444697,34430325.408293344,355419.49736862024
LKA,96,22.07319274518805,64.65908550405,9828.1809966156,343.12362563934147,52154.7910971799,98820.99416666667,34346460.21662045,50144755.371057205,4673.780844679727
MYS,18,29.149092701509396,117.96544004707955,3067.1014412240684,594.0258913859781,15444.67317603543,64395.98611111151,38105011.1090513,171598979.25396886,12513577.629446559
RUS,62,75.50860240372567,2817.2150182433984,191570.6212405511,2791.6695139695544,189833.52694992968,55056.94972222208,238191894.7511353,90337337.00379278,4286470.310025671
FJI,25,35.40845558908413,204.40588013218476,8585.04696555176,485.49204830213193,20390.666028689542,31423.382499999985,16661779.9129696,3171787.7671505753,0
BRA,12,23.657396503702646,107.71142789603549,1831.0942742326033,401.28102583845276,6821.777439253697,15400.515277777778,6257509.488186534,20048717.26162663,0
NOR,85,63.348325822774875,1958.690753881363,176282.16784932266,3332.6415446508468,299937.7390185762,14534.162499999908,55233063.63604044,22698047.52593239,2260246.0097603924
COL,10,61.79572508326802,1258.2939451962216,23907.58495872821,2454.3691481906594,46633.01381562253,13426.379444444425,32927446.147385694,4577856.022412975,0
MEX,23,70.31486762336976,1557.0853764640353,54497.98817624124,3048.641489964023,106702.4521487408,13293.426944444393,41776226.19082488,78467185.47204427,7848263.9371269485
GHA,16,60.68163838896169,933.9546026358416,28018.63807907525,1926.2549580261418,57787.64874078425,11203.890555555552,24430885.80756658,14516541.169477468,0
CAN,48,27.998110534377073,384.84789155961363,18472.698794861455,750.0034300490091,36000.164642352436,10994.126666666747,13351630.156139523,5989740.474614023,9696742.465591067
VCT,2,39.039294367875,284.14262379216666,1704.8557427530002,756.9852168560667,4541.9113011364,10302.927222222228,7651306.869934065,378250.5037514901,15801.912191498193
FRO,23,56.88980186378619,1849.7777777777778,49944,2797.229458644054,75525.19538338945,9690.839166666641,30300415.365079775,3695423.7213968895,1151381.6656537147
ECU,19,67.95266734788969,1572.9853657274953,45616.57560609736,2456.717584287202,71244.80994432885,8551.251111111074,15791080.59791473,6767696.698517659,77873.22297497492
FRA,33,55.30501948163142,1154.0400633338734,53085.842913358174,1973.5155632277074,90781.71590847454,7634.723333333335,21071201.70933155,3814629.763445381,489174.29949067836
LTU,3,99.76375835964001,6158.1013953190795,30790.5069765954,5318.69487581448,26593.4743790724,7593.74694444459,37385666.95988812,12709721.03798831,860335.9254010455
BLZ,7,68.26531418082143,1867.0714285714287,26139,2209.7864152134625,30937.009812988472,7552.3586111111135,11561222.720740378,17708801.038272567,57991.335720964744
EST,2,62.06666666666667,1181.3333333333333,3544,1093.3333333333333,3280,7521.251111111095,9536530.015555529,17240372.284952242,472720.2330524175
ALB,6,23.014931258445237,107.91309382846428,755.39165679925,480.4527106874786,3363.16897481235,7497.750833333333,3418029.0444218023,1924853.7438468628,0
ISL,21,73.52023325394825,2320.1516934501597,48723.18556245335,5267.482032582081,110617.1226842237,6736.747222222224,36725942.175932474,7152057.482304769,1108279.5858167212
GNQ,1,56.11927341438749,680,680,1044.7950211598875,1044.7950211598875,6365.316666666509,6650451.16143922,495342.9179757353,207709.10284511646
SVK,2,28.56255657625,116.88425847299999,467.53703389199995,476.85907148959996,1907.4362859583998,5376.500000000002,2572690.8889113595,0,0
COK,8,33.43375879673408,300.5788546099107,4208.10396453875,734.4070070950391,10281.698099330548,4952.231944444446,2875179.426049694,0,0
MUS,8,50.45382100547018,1075.7589905198329,9681.830914678496,1624.438864036154,14619.949776325386,4520.009444444445,3340221.89654166,477748.73705107515,34301.41041279939
GBR,9,49.88795454544545,1310.0856726673383,14410.942399340722,1957.3454545454545,21530.8,4186.922777778077,4937768.931278042,558970.4830458583,141812.30591595112
