mrgid,pol_type,geoname,iso_sov,x_cen,y_cen,iso_ter,name_ter,name_sov,region
8444,200NM,American Samoa Exclusive Economic Zone,USA,-169.06347,-13.85484,ASM,American Samoa,United States,East Asia & Pacific
21798,Joint regime,Protected Zone established under the Torres Strait Treaty,AUS,142.41029,-9.50249,AUS,Australia,Australia,East Asia & Pacific
8323,200NM,Australian Exclusive Economic Zone,AUS,138.08226,-27.36726,AUS,Australia,Australia,East Asia & Pacific
8311,200NM,Australian Exclusive Economic Zone (Macquarie Island),AUS,158.64987,-54.87818,AUS,Australia,Australia,East Asia & Pacific
26521,200NM,Bruneian Exclusive Economic Zone,BRN,113.38744,6.05934,BRN,Brunei,Brunei,East Asia & Pacific
8331,200NM,Cambodian Exclusive Economic Zone,KHM,102.54228,10.22543,KHM,Cambodia,Cambodia,East Asia & Pacific
48954,Overlapping claim,Overlapping claim Senkaku Islands: Japan / China / Taiwan,CHN,124.12211,26.5208,CHN,China,China,East Asia & Pacific
8486,200NM,Chinese Exclusive Economic Zone,CHN,118.1457,27.73853,CHN,China,China,East Asia & Pacific
49003,Overlapping claim,Overlapping claim South China Sea,CHN,114.10176,13.14179,CHN,China,China,East Asia & Pacific
8309,200NM,Christmas Island Exclusive Economic Zone,AUS,105.36523,-11.24358,CXR,Christmas Island,Australia,East Asia & Pacific
8308,200NM,Cocos Islands Exclusive Economic Zone,AUS,96.85434,-12.03146,CCK,Cocos (Keeling) Islands,Australia,East Asia & Pacific
8446,200NM,Cook Islands Exclusive Economic Zone,NZL,-161.30341,-15.01891,COK,Cook Islands,New Zealand,East Asia & Pacific
8325,200NM,Fijian Exclusive Economic Zone,FJI,95.36388,-17.98795,FJI,Fiji,Fiji,East Asia & Pacific
8440,200NM,French Polynesian Exclusive Economic Zone,FRA,-144.00327,-18.73634,PYF,French Polynesia,France,East Asia & Pacific
48957,200NM,Guam Exclusive Economic Zone,USA,144.00261,12.92958,GUM,Guam,United States,East Asia & Pacific
8388,200NM,Heard and McDonald Islands Exclusive Economic Zone,AUS,73.73051,-53.49863,HMD,Heard & McDonald Islands,Australia,East Asia & Pacific
8492,200NM,Indonesian Exclusive Economic Zone,IDN,117.89096,-3.30391,IDN,Indonesia,Indonesia,East Asia & Pacific
