iso3,category,category_name,type,type_name,prop_ssf,source
AGO,A,Beneficial,A1,Fisheries management,0,Schuhbauer et al. (2017)
AGO,A,Beneficial,A2,Fishery research and development,0.4605076020144118,Schuhbauer et al. (2017)
AGO,A,Beneficial,A3,Marine protected areas,0,Schuhbauer et al. (2017)
AGO,B,Capacity-enhancing,B1,Boat construction and renovation,0.4605070150369334,Schuhbauer et al. (2017)
AGO,B,Capacity-enhancing,B2,Fisheries development projects,1,Schuhbauer et al. (2017)
AGO,B,Capacity-enhancing,B3,Fishing port development,0.3296468314934999,Schuhbauer et al. (2017)
AGO,B,Capacity-enhancing,B4,Marketing and storage infrastructure,0.3300000000102473,Schuhbauer et al. (2017)
AGO,B,Capacity-enhancing,B5,Non-fuel tax exemption,0.3,Schuhbauer et al. (2017)
AGO,B,Capacity-enhancing,B6,Fishing access agreements,0,Schuhbauer et al. (2017)
AGO,B,Capacity-enhancing,B7,Fuel subsidies,0.19599999998938328,Schuhbauer et al. (2017)
AGO,C,Ambiguous,C1,Fisher assistance,0.4605076019754779,Schuhbauer et al. (2017)
AGO,C,Ambiguous,C2,Vessel buyback programs,0,Schuhbauer et al. (2017)
AGO,C,Ambiguous,C3,Rural fisher communities,1,Schuhbauer et al. (2017)
ALB,A,Beneficial,A1,Fisheries management,0.0882998310687957,Schuhbauer et al. (2017)
ALB,A,Beneficial,A2,Fishery research and development,0.09773201499547621,Schuhbauer et al. (2017)
ALB,A,Beneficial,A3,Marine protected areas,0.1235321530391296,Schuhbauer et al. (2017)
ALB,B,Capacity-enhancing,B1,Boat construction and renovation,0,Schuhbauer et al. (2017)
ALB,B,Capacity-enhancing,B2,Fisheries development projects,0.28144506130891006,Schuhbauer et al. (2017)
ALB,B,Capacity-enhancing,B3,Fishing port development,0.15036375296456309,Schuhbauer et al. (2017)
ALB,B,Capacity-enhancing,B4,Marketing and storage infrastructure,0.14626296307577985,Schuhbauer et al. (2017)
ALB,B,Capacity-enhancing,B5,Non-fuel tax exemption,0,Schuhbauer et al. (2017)
ALB,B,Capacity-enhancing,B6,Fishing access agreements,0,Schuhbauer et al. (2017)
ALB,B,Capacity-enhancing,B7,Fuel subsidies,0.37526126067808735,Schuhbauer et al. (2017)
ALB,C,Ambiguous,C1,Fisher assistance,0,Schuhbauer et al. (2017)
ALB,C,Ambiguous,C2,Vessel buyback programs,0,Schuhbauer et al. (2017)
ALB,C,Ambiguous,C3,Rural fisher communities,0,Schuhbauer et al. (2017)
ARE,A,Beneficial,A1,Fisheries management,0.25063813236272764,Schuhbauer et al. (2017)
ARE,A,Beneficial,A2,Fishery research and development,0.20472500906065444,Schuhbauer et al. (2017)
ARE,A,Beneficial,A3,Marine protected areas,0.6226356818999982,Schuhbauer et al. (2017)
ARE,B,Capacity-enhancing,B1,Boat construction and renovation,0,Schuhbauer et al. (2017)
ARE,B,Capacity-enhancing,B2,Fisheries development projects,0,Schuhbauer et al. (2017)
ARE,B,Capacity-enhancing,B3,Fishing port development,0,Schuhbauer et al. (2017)
ARE,B,Capacity-enhancing,B4,Marketing and storage infrastructure,0,Schuhbauer et al. (2017)
ARE,B,Capacity-enhancing,B5,Non-fuel tax exemption,0,Schuhbauer et al. (2017)
ARE,B,Capacity-enhancing,B6,Fishing access agreements,0,Schuhbauer et al. (2017)
ARE,B,Capacity-enhancing,B7,Fuel subsidies,0,Schuhbauer et al. (2017)
ARE,C,Ambiguous,C1,Fisher assistance,0,Schuhbauer et al. (2017)
ARE,C,Ambiguous,C2,Vessel buyback programs,0,Schuhbauer et al. (2017)
ARE,C,Ambiguous,C3,Rural fisher communities,0,Schuhbauer et al. (2017)
ARG,A,Beneficial,A1,Fisheries management,0,Schuhbauer et al. (2017)
ARG,A,Beneficial,A2,Fishery research and development,0.07362278911216051,Schuhbauer et al. (2017)
ARG,A,Beneficial,A3,Marine protected areas,0.1668501599856127,Schuhbauer et al. (2017)
ARG,B,Capacity-enhancing,B1,Boat construction and renovation,0,Schuhbauer et al. (2017)
ARG,B,Capacity-enhancing,B2,Fisheries development projects,0.3634715527214039,Schuhbauer et al. (2017)
ARG,B,Capacity-enhancing,B3,Fishing port development,1,Schuhbauer et al. (2017)
ARG,B,Capacity-enhancing,B4,Marketing and storage infrastructure,0,Schuhbauer et al. (2017)
ARG,B,Capacity-enhancing,B5,Non-fuel tax exemption,0,Schuhbauer et al. (2017)
ARG,B,Capacity-enhancing,B6,Fishing access agreements,0,Schuhbauer et al. (2017)
ARG,B,Capacity-enhancing,B7,Fuel subsidies,0.026000000004375565,Schuhbauer et al. (2017)
ARG,C,Ambiguous,C1,Fisher assistance,0,Schuhbauer et al. (2017)
ARG,C,Ambiguous,C2,Vessel buyback programs,0,Schuhbauer et al. (2017)
ARG,C,Ambiguous,C3,Rural fisher communities,0,Schuhbauer et al. (2017)
ATG,A,Beneficial,A1,Fisheries management,0.9109641887557857,Schuhbauer et al. (2017)
ATG,A,Beneficial,A2,Fishery research and development,1,Schuhbauer et al. (2017)
ATG,A,Beneficial,A3,Marine protected areas,0.8814236471237217,Schuhbauer et al. (2017)
ATG,B,Capacity-enhancing,B1,Boat construction and renovation,0,Schuhbauer et al. (2017)
ATG,B,Capacity-enhancing,B2,Fisheries development projects,1,Schuhbauer et al. (2017)
ATG,B,Capacity-enhancing,B3,Fishing port development,0,Schuhbauer et al. (2017)
ATG,B,Capacity-enhancing,B4,Marketing and storage infrastructure,0.9340519480383216,Schuhbauer et al. (2017)
ATG,B,Capacity-enhancing,B5,Non-fuel tax exemption,1,Schuhbauer et al. (2017)
ATG,B,Capacity-enhancing,B6,Fishing access agreements,0,Schuhbauer et al. (2017)
ATG,B,Capacity-enhancing,B7,Fuel subsidies,0,Schuhbauer et al. (2017)
ATG,C,Ambiguous,C1,Fisher assistance,0,Schuhbauer et al. (2017)
ATG,C,Ambiguous,C2,Vessel buyback programs,0,Schuhbauer et al. (2017)
ATG,C,Ambiguous,C3,Rural fisher communities,0,Schuhbauer et al. (2017)
AUS,A,Beneficial,A1,Fisheries management,0.19461491702413541,Schuhbauer et al. (2017)
AUS,A,Beneficial,A2,Fishery research and development,0.17146113999996584,Schuhbauer et al. (2017)
AUS,A,Beneficial,A3,Marine protected areas,0.19461492098602284,Schuhbauer et al. (2017)
AUS,B,Capacity-enhancing,B1,Boat construction and renovation,0.17146119001845908,Schuhbauer et al. (2017)
AUS,B,Capacity-enhancing,B2,Fisheries development projects,0,Schuhbauer et al. (2017)
AUS,B,Capacity-enhancing,B3,Fishing port development,0,Schuhbauer et al. (2017)
AUS,B,Capacity-enhancing,B4,Marketing and storage infrastructure,0.19000000001449982,Schuhbauer et al. (2017)
AUS,B,Capacity-enhancing,B5,Non-fuel tax exemption,0,Schuhbauer et al. (2017)
AUS,B,Capacity-enhancing,B6,Fishing access agreements,0,Schuhbauer et al. (2017)
AUS,B,Capacity-enhancing,B7,Fuel subsidies,0.08400000002946471,Schuhbauer et al. (2017)
AUS,C,Ambiguous,C1,Fisher assistance,1,Schuhbauer et al. (2017)
AUS,C,Ambiguous,C2,Vessel buyback programs,0,Schuhbauer et al. (2017)
AUS,C,Ambiguous,C3,Rural fisher communities,1,Schuhbauer et al. (2017)
BEL,A,Beneficial,A1,Fisheries management,0,Schuhbauer et al. (2017)
BEL,A,Beneficial,A2,Fishery research and development,0,Schuhbauer et al. (2017)
BEL,A,Beneficial,A3,Marine protected areas,0,Schuhbauer et al. (2017)
BEL,B,Capacity-enhancing,B1,Boat construction and renovation,0,Schuhbauer et al. (2017)
BEL,B,Capacity-enhancing,B2,Fisheries development projects,0,Schuhbauer et al. (2017)
BEL,B,Capacity-enhancing,B3,Fishing port development,0,Schuhbauer et al. (2017)
BEL,B,Capacity-enhancing,B4,Marketing and storage infrastructure,0,Schuhbauer et al. (2017)
BEL,B,Capacity-enhancing,B5,Non-fuel tax exemption,0,Schuhbauer et al. (2017)
BEL,B,Capacity-enhancing,B6,Fishing access agreements,0,Schuhbauer et al. (2017)
BEL,B,Capacity-enhancing,B7,Fuel subsidies,0,Schuhbauer et al. (2017)
BEL,C,Ambiguous,C1,Fisher assistance,0,Schuhbauer et al. (2017)
BEL,C,Ambiguous,C2,Vessel buyback programs,0,Schuhbauer et al. (2017)
BEL,C,Ambiguous,C3,Rural fisher communities,0,Schuhbauer et al. (2017)
BEN,A,Beneficial,A1,Fisheries management,0.9438315984433663,Schuhbauer et al. (2017)
BEN,A,Beneficial,A2,Fishery research and development,1,Schuhbauer et al. (2017)
BEN,A,Beneficial,A3,Marine protected areas,0,Schuhbauer et al. (2017)
BEN,B,Capacity-enhancing,B1,Boat construction and renovation,0,Schuhbauer et al. (2017)
BEN,B,Capacity-enhancing,B2,Fisheries development projects,1,Schuhbauer et al. (2017)
BEN,B,Capacity-enhancing,B3,Fishing port development,0,Schuhbauer et al. (2017)
BEN,B,Capacity-enhancing,B4,Marketing and storage infrastructure,0,Schuhbauer et al. (2017)
BEN,B,Capacity-enhancing,B5,Non-fuel tax exemption,0,Schuhbauer et al. (2017)
BEN,B,Capacity-enhancing,B6,Fishing access agreements,0,Schuhbauer et al. (2017)
BEN,B,Capacity-enhancing,B7,Fuel subsidies,0,Schuhbauer et al. (2017)
BEN,C,Ambiguous,C1,Fisher assistance,0,Schuhbauer et al. (2017)
BEN,C,Ambiguous,C2,Vessel buyback programs,0,Schuhbauer et al. (2017)
BEN,C,Ambiguous,C3,Rural fisher communities,1,Schuhbauer et al. (2017)
BGD,A,Beneficial,A1,Fisheries management,0.8603752990335551,Schuhbauer et al. (2017)
BGD,A,Beneficial,A2,Fishery research and development,0,Schuhbauer et al. (2017)
BGD,A,Beneficial,A3,Marine protected areas,0.8206462079031829,Schuhbauer et al. (2017)
BGD,B,Capacity-enhancing,B1,Boat construction and renovation,0,Schuhbauer et al. (2017)
BGD,B,Capacity-enhancing,B2,Fisheries development projects,0.8870000000659198,Schuhbauer et al. (2017)
BGD,B,Capacity-enhancing,B3,Fishing port development,0,Schuhbauer et al. (2017)
BGD,B,Capacity-enhancing,B4,Marketing and storage infrastructure,0,Schuhbauer et al. (2017)
BGD,B,Capacity-enhancing,B5,Non-fuel tax exemption,0,Schuhbauer et al. (2017)
BGD,B,Capacity-enhancing,B6,Fishing access agreements,0,Schuhbauer et al. (2017)
BGD,B,Capacity-enhancing,B7,Fuel subsidies,0.8472962373653886,Schuhbauer et al. (2017)
BGD,C,Ambiguous,C1,Fisher assistance,1,Schuhbauer et al. (2017)
BGD,C,Ambiguous,C2,Vessel buyback programs,0,Schuhbauer et al. (2017)
BGD,C,Ambiguous,C3,Rural fisher communities,0.9999999945667003,Schuhbauer et al. (2017)
BGR,A,Beneficial,A1,Fisheries management,0.03550456586270019,Schuhbauer et al. (2017)
BGR,A,Beneficial,A2,Fishery research and development,0.0341083619991816,Schuhbauer et al. (2017)
BGR,A,Beneficial,A3,Marine protected areas,0.03457498899614827,Schuhbauer et al. (2017)
BGR,B,Capacity-enhancing,B1,Boat construction and renovation,0.02888654050877515,Schuhbauer et al. (2017)
BGR,B,Capacity-enhancing,B2,Fisheries development projects,0,Schuhbauer et al. (2017)
BGR,B,Capacity-enhancing,B3,Fishing port development,0,Schuhbauer et al. (2017)
BGR,B,Capacity-enhancing,B4,Marketing and storage infrastructure,0.03612272936847243,Schuhbauer et al. (2017)
BGR,B,Capacity-enhancing,B5,Non-fuel tax exemption,0,Schuhbauer et al. (2017)
BGR,B,Capacity-enhancing,B6,Fishing access agreements,0,Schuhbauer et al. (2017)
BGR,B,Capacity-enhancing,B7,Fuel subsidies,1,Schuhbauer et al. (2017)
BGR,C,Ambiguous,C1,Fisher assistance,0,Schuhbauer et al. (2017)
BGR,C,Ambiguous,C2,Vessel buyback programs,0,Schuhbauer et al. (2017)
BGR,C,Ambiguous,C3,Rural fisher communities,0.2093932639906973,Schuhbauer et al. (2017)
