admin_iso3,admin,sov_iso3,sovereign,region,flag_lon,flag_lat
ABW,Aruba,NLD,Netherlands,East Asia & Pacific,290.01732288749054,12.52088038384019
ABW,Aruba,NLD,Netherlands,Europe & Central Asia,-69.9826771125094,12.520880383840188
ABW,Aruba,NLD,Netherlands,Latin America & Caribbean,-69.9826771125094,12.520880383840188
ABW,Aruba,NLD,Netherlands,Middle East & North Africa,-69.9826771125094,12.520880383840188
ABW,Aruba,NLD,Netherlands,North America,-69.9826771125094,12.520880383840188
ABW,Aruba,NLD,Netherlands,South Asia,-69.9826771125094,12.520880383840188
ABW,Aruba,NLD,Netherlands,Sub-Saharan Africa,-69.9826771125094,12.520880383840188
AFG,Afghanistan,AFG,Afghanistan,East Asia & Pacific,66.00473365578554,33.83523072784669
AFG,Afghanistan,AFG,Afghanistan,Europe & Central Asia,66.00473365578554,33.83523072784669
AFG,Afghanistan,AFG,Afghanistan,Latin America & Caribbean,66.00473365578554,33.83523072784669
AFG,Afghanistan,AFG,Afghanistan,Middle East & North Africa,66.00473365578554,33.83523072784669
AFG,Afghanistan,AFG,Afghanistan,North America,66.00473365578554,33.83523072784669
AFG,Afghanistan,AFG,Afghanistan,South Asia,66.00473365578554,33.83523072784669
AFG,Afghanistan,AFG,Afghanistan,Sub-Saharan Africa,66.00473365578554,33.83523072784669
AGO,Angola,AGO,Angola,East Asia & Pacific,17.537367681548854,-12.293360543793675
AGO,Angola,AGO,Angola,Europe & Central Asia,17.537367681548854,-12.293360543793675
AGO,Angola,AGO,Angola,Latin America & Caribbean,17.537367681548854,-12.293360543793675
AGO,Angola,AGO,Angola,Middle East & North Africa,17.537367681548854,-12.293360543793675
AGO,Angola,AGO,Angola,North America,17.537367681548854,-12.293360543793675
AGO,Angola,AGO,Angola,South Asia,17.537367681548854,-12.293360543793675
AGO,Angola,AGO,Angola,Sub-Saharan Africa,17.537367681548854,-12.293360543793675
AIA,Anguilla,GBR,United Kingdom,East Asia & Pacific,296.93501073464313,18.223959502282636
