year,flag,vessels_total,fishing_hours_total,fishing_KWh_total,fishing_days_total
2018,AFG,3,666.8941666666676,329443.93509343115,66
2018,AGO,28,81968.84902777789,45142127.647641994,4948
2018,AIA,2,429.64388888888834,696267.6128747731,92
2018,ALB,30,23470.892499999994,9315135.594882999,1819
2018,ARG,346,588034.6188888934,581922762.8259684,41422
2018,ATF,2,696.8015277777846,1174257.5490843228,68
2018,ATG,1,14.355833333333331,6003.359611168167,2
2018,AUS,289,304771.85319444427,154509493.6448363,21408
2018,BEL,79,141536.28500000006,88801339.16304615,12516
2018,BES,2,963.4934722222209,1185556.499164295,111
2018,BGR,58,24711.133472222224,5964376.501916886,3394
2018,BHR,384,122961.10111111116,45836447.63312518,18018
2018,BLZ,18,18493.207777777974,33551302.45878985,1841
2018,BMU,2,862.5411111111115,1171776.0157493951,65
2018,BOL,1,48.623888888888885,13035.561729996065,4
2018,BRA,154,218953.8625000002,81503319.91870819,13654
2018,CAN,780,381713.8511111114,366578865.88087726,28984
2018,CHE,2,1179.5434722222212,784255.8949566428,80
2018,CHL,79,83657.06402777921,152827429.25268462,7992
2018,CHN,54479,18837442.48765448,6786078685.903319,1960462
2018,CIV,2,5873.636666666666,5307495.430535865,414
2018,CMR,4,14825.14222222212,8500326.336480094,790
2018,COG,2,30.515833333333337,14300.87581248816,6
2018,COK,13,38636.93833333307,20373297.710668024,2110
2018,COL,14,15370.935555555527,38271720.62311312,1613
2018,COM,4,3405.718750000002,3602383.577515797,304
2018,CRI,1,150.35263888888886,302775.3149158863,22
2018,CUW,10,6808.612916666666,23628225.784423098,969
2018,CXR,1,376.265277777778,154398.7260115177,19
2018,CYM,1,28.526944444444442,107701.21555752822,4
2018,CYP,34,30819.082222222787,27135671.0486552,2584
2018,DEU,247,208947.9075,211375865.17959362,20060
2018,DJI,1,712.5749999999996,226335.72842121925,51
2018,DNK,480,601577.5704166669,455068160.1500874,57449
2018,DZA,7,668.4034722222221,305336.69415311195,92
2018,ECU,50,19651.255138888857,29636855.814618044,2323
2018,EGY,2,83.26138888888889,33809.8530321936,17
2018,ESP,1799,2150718.19444445,753387997.7924798,232904
2018,EST,32,51775.10902777814,87488581.9316843,4446
2018,FIN,42,44971.47222222223,38362983.12849049,3936
2018,FJI,52,181899.50861111205,79393992.87390749,9836
2018,FLK,17,46421.633749999564,97264992.64226912,2767
2018,FRA,1087,1667141.424583334,786572599.1140819,142159
2018,FRO,107,288755.8166666663,375696134.32451284,16635
2018,FSM,32,62543.42930555584,78449662.69018558,5686
2018,GBR,1296,1431623.4293055534,604707614.9502321,120835
2018,GEO,24,4412.281250000002,1691426.2789714274,799
2018,GHA,88,97987.60430555555,83685390.6340726,9278
2018,GIB,1,26.046666666666667,9359.224094639068,12
2018,GIN,3,8099.410000000107,10876798.000301005,485
2018,GMB,4,1230.0990277777778,220272.7018060076,90
2018,GNB,10,18875.315555555826,58679279.069759525,1378
2018,GNQ,15,7924.687638889697,6878650.494164969,831
2018,GRC,371,314800.9718055555,88848381.5643628,30125
2018,GRL,36,55423.40055555619,53440921.926802576,4282
2018,GTM,4,1916.094305555568,6733204.8787183445,309
2018,GUF,7,13235.227083333326,7832816.964644929,712
2018,GUY,1,48.492777777777775,35748.52750299693,9
2018,HKG,27,5670.729027777781,2436910.877234034,671
2018,HND,1,44.45388888888888,7371.923278470099,6
2018,HRV,221,221186.60624999978,98740921.82493569,23336
2018,HTI,1,394.13944444444445,294467.467866821,23
2018,HUN,1,1827.1712500000006,792855.8590522909,100
2018,IDN,42,23264.942916666678,12009813.472221456,1846
2018,IND,288,138585.53569444435,47695821.60532654,11095
2018,IRL,261,334149.1579166665,136443568.1390209,23671
2018,IRN,41,31328.596944444464,20344963.602362923,2141
2018,ISL,1058,636728.6461111133,753739038.9780751,64169
2018,ISR,20,23312.59777777777,5372232.693705563,1660
2018,ITA,1449,1999247.4727777808,592163766.5496653,185025
2018,JAM,1,9.023194444444444,19589.610375517335,2
2018,JOR,1,204.7456944444445,89664.13812791955,16
2018,JPN,1503,1691368.777361113,1044248491.0508357,157861
2018,KAZ,1,943.3408333333334,396679.8569477135,57
2018,KEN,3,2427.4273611111125,905799.5802774269,178
2018,KHM,1,3426.5204166666867,3170321.501102286,181
2018,KIR,12,9617.769999999955,26587520.037717413,1145
2018,KNA,9,4612.893333333333,5506449.58563869,522
2018,KOR,2723,1966338.13722224,1147541725.5266402,200130
2018,LBR,1,17.401111111111117,7029.173304354755,1
2018,LBY,14,1282.1602777777778,723248.6473771966,138
2018,LIE,1,83.0009722222222,8266.31566722401,15
2018,LKA,143,156390.574861111,60380583.0452145,9540
2018,LTU,30,35620.682222222415,71412954.02964458,2588
2018,LVA,61,55974.13597222222,27243270.708621778,6509
2018,MAR,57,169709.05944444434,90083460.08851701,10913
2018,MDG,14,27843.291111111143,9698208.859950947,1838
2018,MEX,33,34807.55999999995,102116045.95560807,4067
2018,MHL,14,17019.691250000003,26480755.82036526,1727
2018,MLT,76,32003.36472222222,10334640.3136198,4283
2018,MNE,13,6614.243055555556,1438959.3093343526,606
2018,MNG,4,3451.508472222225,1466784.5797271987,311
2018,MOZ,18,49330.60666666703,34336078.86361405,2608
2018,MRT,9,18502.5118055556,9652282.598154768,1360
2018,MUS,40,49144.98277777776,22052218.078639787,3266
2018,MYS,281,173789.4644444445,65786658.22884423,16586
2018,NAM,66,160394.66291666735,195133818.22618368,9428
2018,NCL,19,44350.22694444444,15961410.275136484,3088
2018,NGA,12,20063.82777777777,17776780.833568607,1079
2018,NIC,3,2094.184444444448,5579292.603109406,207
2018,NLD,485,656678.5518055555,437345257.1585392,60567
2018,NOR,2650,1138540.6897222237,1502006735.440442,135864
2018,NRU,2,324.2791666666659,995716.9985460229,35
2018,NZL,96,205470.5734722252,292669459.6574988,14231
2018,OMN,1,184.5351388888889,91837.63166655328,17
2018,PAK,1,18.169583333333335,2571.2409284309547,6
2018,PAN,21,13700.34333333354,14125034.832549913,1313
2018,PER,118,49812.937638888885,55335525.81034432,9377
2018,PHL,19,10377.940138888878,25364830.30739226,1251
2018,PLW,4,1522.6388888888891,1373447.7614368072,94
2018,PNG,30,34501.84111111104,83780355.28121933,3936
2018,POL,178,125649.68638888893,71751524.91195235,12870
2018,PRK,2,215.2105555555556,57312.94443467581,27
2018,PRT,404,561948.1308333343,234587574.4579827,55936
2018,PSE,3,3643.6309722222227,1012961.7787429367,204
2018,PYF,8,12877.823888888863,6534617.946611123,783
2018,QAT,107,74995.1408333333,15861681.295087943,5526
2018,REU,14,10560.95986111109,6116022.833591787,1024
2018,ROU,5,1712.74625,433580.7380748011,186
2018,RUS,728,1784561.8944444575,3840684417.3027287,112664
2018,SAU,8,1602.4527777777776,361498.99525687477,171
2018,SEN,49,125671.18930555615,69792048.03285597,7340
2018,SGP,27,6280.230833333337,1638916.915402385,1405
2018,SHN,4,5416.314861111107,5214985.409365376,437
2018,SLB,5,3098.744027777772,8778200.87265251,357
2018,SLE,2,94.1422222222222,50530.71796750187,16
2018,SLV,7,4284.661944444444,13371135.119240308,547
2018,SOM,2,98.90041666666666,36117.312146645636,18
2018,SPM,5,2509.065555555556,1507765.9221459862,272
2018,SRB,1,317.21472222222224,59816.1675522306,27
2018,STP,1,2134.1173611111108,707787.3740830937,118
2018,SVK,2,5635.148055555548,2692170.1815411593,296
2018,SVN,8,4602.890416666665,761115.0361298603,906
2018,SWE,235,167459.1454166669,90244120.36691661,19908
2018,SYC,58,167073.76541666698,148441302.4628536,9073
2018,TCA,1,1355.1465277777777,660650.9981280444,77
2018,THA,47,11620.691516724442,3719103.82316164,1485
2018,TUN,18,3656.6163888888896,1725252.1558694437,448
2018,TUR,776,255524.93027777757,67940435.77000497,35067
2018,TUV,2,16.87513888888889,43662.2793030351,10
2018,TWN,2088,3513273.552638898,2453267652.568191,227637
2018,TZA,2,4109.451527777876,4161754.399649062,262
2018,UKR,11,10928.463194444867,22589246.23829826,1026
2018,UNK,807,679076.4281944451,364710186.20039475,46495
2018,URY,54,140679.61027777806,80334678.63659744,10331
2018,USA,2832,1701908.505833337,1080820774.2055507,130778
2018,VCT,8,18871.964583333356,29701996.3072803,949
2018,VEN,25,11653.037222222214,18418358.007004566,1201
2018,VGB,1,84.2298611111111,3406.6704707986896,17
2018,VNM,55,14979.423472222215,3574945.587356559,1455
2018,VUT,68,244766.57694444625,209046372.6839443,14199
2018,WLF,1,9.682083333333333,2377.68920232045,1
2018,WSM,2,862.5819444444439,317588.9157316233,48
2018,YEM,1,271.284861111111,49788.71481437482,14
2018,ZAF,276,398411.91708333476,256581414.3546058,27338
