year,ssvid,flag,vessel_class,length_m,tonnage_gt,engine_power_kw,broadcast_shipname,broadcast_callsign,eez_code,eez_type,eez_name,eez_territory_iso3,eez_sovereign_iso3,eez_sovereign2_iso3,eez_sovereign3_iso3,fishing_hours_year_eez,fishing_KWh_year_eez,fishing_days_year_eez,sovereign_iso3,flag_name,sovereign_name,eez_territory_name,eez_sovereign_name,eez_sovereign2_name,eez_sovereign3_name,is_EU,is_foreign,subs_per_fishing_KWh
2018,1,USA,tuna_purse_seines,67.391,1226.8167585463216,3207.8,DONA BOLA,100200,5668,200NM,Dutch Exclusive Economic Zone,NLD,NLD,NA,NA,675.5288888888889,2166961.569777778,71,USA,United States,United States,Netherlands,Netherlands,NA,NA,FALSE,TRUE,1.0467986353580072
2018,701000627,ARG,trawlers,69.28375775461427,3061,1914.889295474736,TAI AN,LW3280,5668,200NM,Dutch Exclusive Economic Zone,NLD,NLD,NA,NA,80.36291666666668,153886.08887812827,7,ARG,Argentina,Argentina,Netherlands,Netherlands,NA,NA,FALSE,TRUE,0.3701143215503337
2018,701000627,ARG,trawlers,69.28375775461427,3061,1914.889295474736,TAI AN,LW3280,5669,200NM,German Exclusive Economic Zone,DEU,DEU,NA,NA,99.41888888888889,190376.1661013255,8,ARG,Argentina,Argentina,Germany,Germany,NA,NA,FALSE,TRUE,0.3701143215503337
2018,1,USA,tuna_purse_seines,67.391,1226.8167585463216,3207.8,DONA BOLA,100200,5670,200NM,Albanian Exclusive Economic Zone,ALB,ALB,NA,NA,23.945416666666663,76812.10758333333,2,USA,United States,United States,Albania,Albania,NA,NA,FALSE,TRUE,1.0467986353580072
2018,201100187,TUR,trawlers,26.5166422507,371,359.66293526425,ROZAFA15,ZADH4,5670,200NM,Albanian Exclusive Economic Zone,ALB,ALB,NA,NA,614.4801388888891,221005.73041436184,92,TUR,Turkey,Turkey,Albania,Albania,NA,NA,FALSE,TRUE,1.1748010260513329
2018,215000323,MLT,trawlers,21.516286827366667,159,369,ELISSA,9HB4913,5670,200NM,Albanian Exclusive Economic Zone,ALB,ALB,NA,NA,19.767916666666665,7294.361250000001,2,MLT,Malta,Malta,Albania,Albania,NA,NA,FALSE,TRUE,1.3403108393815872
2018,237216000,GRC,trawlers,24.95,85,103,NIKOLAOS I,SV2980,5670,200NM,Albanian Exclusive Economic Zone,ALB,ALB,NA,NA,70.04638888888888,7214.778055555556,35,GRC,Greece,Greece,Albania,Albania,NA,NA,FALSE,TRUE,1.495616702328818
2018,237387000,GRC,trawlers,19.87,48,176.64,AGIA KYRIAKI,SV4063,5670,200NM,Albanian Exclusive Economic Zone,ALB,ALB,NA,NA,170.15666666666664,30056.473599999998,52,GRC,Greece,Greece,Albania,Albania,NA,NA,FALSE,TRUE,1.495616702328818
2018,237445000,GRC,trawlers,22.1,61,360.2,KONSTANTINOS K,SV6844,5670,200NM,Albanian Exclusive Economic Zone,ALB,ALB,NA,NA,19.12180555555555,6887.674361111109,16,GRC,Greece,Greece,Albania,Albania,NA,NA,FALSE,TRUE,1.495616702328818
2018,237475000,GRC,trawlers,28.9,147,294.04,AGIOS SPIRIDON,SW9474,5670,200NM,Albanian Exclusive Economic Zone,ALB,ALB,NA,NA,221.37125,65092.00235,67,GRC,Greece,Greece,Albania,Albania,NA,NA,FALSE,TRUE,1.495616702328818
2018,237535000,GRC,trawlers,24.150000000000002,92,330.8,PANAGIA FANEROMENI 2,SW4470,5670,200NM,Albanian Exclusive Economic Zone,ALB,ALB,NA,NA,1.0538888888888889,348.6264444444445,2,GRC,Greece,Greece,Albania,Albania,NA,NA,FALSE,TRUE,1.495616702328818
2018,237924000,GRC,trawlers,21.86,58,269.78,AGIOS IWANNHS,SV4036,5670,200NM,Albanian Exclusive Economic Zone,ALB,ALB,NA,NA,42.66333333333334,11509.714066666667,24,GRC,Greece,Greece,Albania,Albania,NA,NA,FALSE,TRUE,1.495616702328818
2018,240588000,GRC,trawlers,23,45,215.38000000000002,FANEROMENI G,SY8117,5670,200NM,Albanian Exclusive Economic Zone,ALB,ALB,NA,NA,1.0691666666666668,230.2771166666667,1,GRC,Greece,Greece,Albania,Albania,NA,NA,FALSE,TRUE,1.495616702328818
2018,247120130,ITA,set_longlines,13.850000000000001,32.33705723191429,189.41503310545716,TORNADO,IJQU,5670,200NM,Albanian Exclusive Economic Zone,ALB,ALB,NA,NA,1.0319444444444443,195.46579110743707,1,ITA,Italy,Italy,Albania,Albania,NA,NA,FALSE,TRUE,0.30565843237865425
2018,247120640,ITA,set_longlines,15.12,25,118,LORENZA MADRE II,IMYL,5670,200NM,Albanian Exclusive Economic Zone,ALB,ALB,NA,NA,41.80388888888888,4932.858888888888,6,ITA,Italy,Italy,Albania,Albania,NA,NA,FALSE,TRUE,0.30565843237865425
