year,flag,vessels_total,fishing_hours_total,fishing_KWh_total,fishing_days_total
2019,AGO,24,11652.051805555553,6864303.875606557,1022
2019,AIA,1,170.13958333333335,282073.0003395419,35
2019,ALB,29,11134.973194444445,4147531.922236603,931
2019,ARG,319,213384.2026388885,216017023.7294757,16013
2019,ARM,1,8.303055555555556,1583.0407592012064,1
2019,ATF,2,1199.2437500000153,2858331.2755465214,83
2019,AUS,248,96357.32208333346,48980466.11288917,7212
2019,BEL,72,52267.72041666671,35559113.70086426,4389
2019,BES,1,578.43625,548589.8894252182,41
2019,BGR,56,12831.20486111112,2966467.9045702503,1636
2019,BHR,115,8168.429166666663,2475869.360155343,1405
2019,BHS,1,19.632638888888888,173585.58124262362,1
2019,BLZ,17,6547.508333333329,9823994.283430079,669
2019,BMU,1,11.193750000000005,2235.358008664218,6
2019,BRA,124,78254.09388888888,29318040.133382272,5084
2019,CAN,580,118143.65750000009,123103106.05546714,8993
2019,CHL,76,37208.28430555521,68575480.38679835,3273
2019,CHN,32954,5120264.624444476,2168976703.693418,546583
2019,CIV,2,2245.1674999999964,1947176.4778128187,137
2019,CMR,4,5665.924444444445,3668578.2959337374,303
2019,COG,1,11.479444444444443,9319.728749372895,6
2019,COK,13,10618.51416666667,5995374.388861398,603
2019,COL,14,6815.417083333325,16605805.823563479,820
2019,COM,3,1203.2412500000005,1944347.8069893017,133
2019,CRI,1,50.62833333333333,101953.71150083144,12
2019,CUW,9,2257.7497222222205,6683355.840369683,284
2019,CXR,1,816.2669444444447,334951.3860324101,40
2019,CYM,2,30.415833333333328,111896.79597216005,5
2019,CYP,27,12327.75236111117,12813792.87607289,894
2019,DEU,214,59428.891666666656,64289848.38150127,5315
2019,DJI,1,124.86791666666667,213093.89456020406,26
2019,DNK,444,213167.79458333313,158639715.18630797,20494
2019,DZA,5,104.45500000000004,47084.192325063166,13
2019,ECU,41,7816.792361111114,12462491.013081681,1112
2019,EGY,2,107.93180555555554,41516.59244944014,17
2019,ESP,1703,745371.5280555547,260372515.68002918,82168
2019,EST,32,23208.39250000008,38379105.193191834,1933
2019,FIN,36,17353.03458333334,15124919.212921198,1608
