sovereign_iso3,iso3
NLD,ABW
AFG,AFG
AGO,AGO
GBR,AIA
ALB,ALB
ARE,ARE
ARG,ARG
ARM,ARM
GBR,ASC
USA,ASM
FRA,ATF
ATG,ATG
AUS,AUS
AUT,AUT
AZE,AZE
BEL,BEL
BEN,BEN
NLD,BES
BGD,BGD
BGR,BGR
BHR,BHR
BHS,BHS
FRA,BLM
BLZ,BLZ
GBR,BMU
BOL,BOL
BRA,BRA
BRB,BRB
BRN,BRN
NOR,BVT
CAN,CAN
AUS,CCK
CHE,CHE
CHL,CHL
CHN,CHN
CIV,CIV
CMR,CMR
COD,COD
COG,COG
NZL,COK
COL,COL
COM,COM
FRA,CPT
CPV,CPV
CRI,CRI
CUB,CUB
NLD,CUW
AUS,CXR
GBR,CYM
CYP,CYP
DEU,DEU
DJI,DJI
DMA,DMA
DNK,DNK
DOM,DOM
DZA,DZA
ECU,ECU
EGY,EGY
ERI,ERI
ESH,ESH
ESP,ESP
EST,EST
FIN,FIN
FJI,FJI
GBR,FLK
FRA,FRA
DNK,FRO
FSM,FSM
GAB,GAB
GBR,GBR
GEO,GEO
GBR,GGY
GHA,GHA
GBR,GIB
GIN,GIN
FRA,GLP
GMB,GMB
GNB,GNB
GNQ,GNQ
GRC,GRC
GRD,GRD
DNK,GRL
GTM,GTM
FRA,GUF
USA,GUM
GUY,GUY
CHN,HKG
AUS,HMD
HND,HND
HRV,HRV
HTI,HTI
HUN,HUN
IDN,IDN
IND,IND
GBR,IOT
IRL,IRL
IRN,IRN
IRQ,IRQ
ISL,ISL
ISR,ISR
ITA,ITA
JAM,JAM
GBR,JEY
JOR,JOR
JPN,JPN
KEN,KEN
KHM,KHM
KIR,KIR
KNA,KNA
KOR,KOR
KWT,KWT
LBN,LBN
LBR,LBR
LBY,LBY
LCA,LCA
LIE,LIE
LKA,LKA
LSO,LSO
LTU,LTU
LVA,LVA
FRA,MAF
MAR,MAR
MCO,MCO
MDG,MDG
MDV,MDV
MEX,MEX
MHL,MHL
MLT,MLT
MMR,MMR
MNE,MNE
MNG,MNG
USA,MNP
MOZ,MOZ
MRT,MRT
GBR,MSR
FRA,MTQ
MUS,MUS
MYS,MYS
FRA,MYT
NAM,NAM
FRA,NCL
NER,NER
AUS,NFK
NGA,NGA
NIC,NIC
NZL,NIU
NLD,NLD
NOR,NOR
NRU,NRU
NZL,NZL
OMN,OMN
PAK,PAK
PAN,PAN
GBR,PCN
PER,PER
PHL,PHL
PLW,PLW
PNG,PNG
POL,POL
USA,PRI
PRK,PRK
PRT,PRT
PSE,PSE
FRA,PYF
QAT,QAT
FRA,REU
ROU,ROU
RUS,RUS
SAU,SAU
SDN,SDN
SEN,SEN
SGP,SGP
GBR,SGS
GBR,SHN
NOR,SJM
SLB,SLB
SLE,SLE
SLV,SLV
SOM,SOM
FRA,SPM
SRB,SRB
STP,STP
SUR,SUR
SVK,SVK
SVN,SVN
SWE,SWE
NLD,SXM
SYC,SYC
SYR,SYR
GBR,TAA
GBR,TCA
TGO,TGO
THA,THA
NZL,TKL
TLS,TLS
TON,TON
TTO,TTO
TUN,TUN
TUR,TUR
TUV,TUV
TWN,TWN
TZA,TZA
UKR,UKR
USA,UMI
UNK,UNK
URY,URY
USA,USA
VCT,VCT
VEN,VEN
GBR,VGB
USA,VIR
VNM,VNM
VUT,VUT
FRA,WLF
WSM,WSM
YEM,YEM
ZAF,ZAF
