flag,subs_per_fishing_KWh
AGO,0.7224661399911582
AIA,0.10999113783859514
ALB,0.7002138756941975
ARG,0.37011850042132205
ATF,0.17766627302027305
ATG,182.00871869432845
AUS,0.1748278552890384
BEL,0.2770644899238029
BES,0.28322258102925413
BGR,1.183245691435115
BHR,0.21690897417724078
BLZ,1.222282407624576
BMU,0.10999113783859514
BRA,2.842986895558383
CAN,0.4549608008476306
CHL,0.8059270911081969
CHN,0.7385330517197959
CIV,7.745943000446299
CMR,1.7575356380266107
COG,90.6217168803257
COK,0.08700441940082293
COL,0.2504777858524261
COM,12.53317328076011
CRI,10.556068010524275
CUW,0.28322258102925413
CXR,0.1748278552890384
CYM,0.10999113783859514
CYP,1.0091582664493226
DEU,0.2873013837319245
DJI,12.973775449164588
DNK,0.11315814468036112
DZA,568.1545878041071
ECU,0.33070819213776675
EGY,1242.8329114172352
ESP,0.807219263528598
EST,0.38736905622339907
FIN,0.29546790700908687
FJI,0.2757873194686744
FLK,0.10999113783859514
FRA,0.17766627302027305
FRO,0.11315814468036112
FSM,0.08479982458958693
GBR,0.10999113783859514
GEO,1.2063387856908594
GHA,1.4672901316336286
GIB,0.10999113783859514
GIN,1.1855753860403755
GMB,75.23575244296575
GNB,0.0011507305742411373
GNQ,0.13430128634005434
GRC,1.495638854806899
GRL,0.11315814468036112
GTM,0.5589915287616248
GUF,0.17766627302027305
GUY,135.8869244349367
HKG,41.81429303271725
HND,466.00730822485514
HRV,0.02894956081601137
HTI,3.79564865625666
IDN,37.051908194332746
IND,3.3335371006340693
IRL,0.4436993856174776
IRN,1.6736319853831212
ISL,0.10751907473121788
ISR,0.01933580399853268
ITA,0.3056608263218841
JAM,1031.5379554942451
JOR,0.34003067487810384
JPN,1.7688813232206977
KEN,39.691415474412715
KHM,3.322910933082727
KIR,0.6587680321731014
KNA,0.07332456372851157
KOR,1.1715882038376029
LBR,488.8274162270656
LKA,1.447107909320116
LTU,0.22884718382222194
LVA,1.0355982300025868
MAR,1.7858615208293598
MDG,2.519194105766411
MEX,1.6298377504589419
MHL,0.22685758897334743
MLT,1.3405924853912334
MNE,0.04879635687021697
MOZ,0.5531823098373078
MRT,2.5729735061691774
MUS,0.04568575705479067
MYS,6.4058291382085875
NAM,0.42703691851092285
NCL,0.17766627302027305
NGA,3.4778065966023974
NIC,3.576109557062923
NLD,0.28322258102925413
NOR,0.30023869839930656
NRU,0.1762419914656994
NZL,0.08700441940082293
OMN,813.8706130414218
PAK,53589.1317188871
PAN,1.3198507737063443
PER,4.404293560750634
PHL,5.919205475036976
PLW,0.3528920408541507
PNG,0.2993415916356449
POL,0.7215855271216031
PRK,17.022100148980396
PRT,0.3820489729556529
PYF,0.17766627302027305
QAT,0.34506375485081614
REU,0.17766627302027305
ROU,13.521339075742315
RUS,0.25537587647336496
SAU,39.21560264167954
SEN,3.1403946773673934
SGP,0.03382255041671245
SHN,0.10999113783859514
SLB,2.747659353642908
SLE,524.0348757302469
SLV,0.12454053370261753
SOM,80.16133753709826
SPM,0.17766627302027305
STP,1.713890067891472
SVN,2.1443206171288116
SWE,0.44409797341824664
SYC,0.16223608122245145
TCA,0.10999113783859514
THA,263.5770058530914
TUN,45.9929535062089
TUR,1.1748697250565807
TUV,9.049313648005874
TWN,0.27104442041388593
TZA,9.576067040912088
UKR,2.472535816874947
URY,0.04525656307615731
USA,1.0468906201889228
VCT,0.0323416823866665
VEN,2.038367971969169
VGB,0.10999113783859514
VNM,96.64542682154404
VUT,0.06297365256192791
WLF,0.17766627302027305
WSM,7.1395547050706565
YEM,2970.038712745527
ZAF,0.251938916075897
