flag,eez_id,territory_iso3,region,fao_country_profile,country_profile,fao_memberships,fisheries_subsidies,treaties_conventions,internal_fishing_access_agreements
Angola ,8478,AGO,Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=AGO&subj=6,http://www.seaaroundus.org/data/#/country/24,,http://www.seaaroundus.org/data/#/subsidy/6,http://www.fishbase.org/Country/CountryTreatyList.php?Country=24,http://www.seaaroundus.org/data/#/eez/24/internal-fishing-access/
Antigua and Barbuda,8414,ATG,Caribbean,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=ATG&subj=6,http://www.seaaroundus.org/data/#/country/28,,http://www.seaaroundus.org/data/#/subsidy/8,http://www.fishbase.org/Country/CountryTreatyList.php?Country=28,http://www.seaaroundus.org/data/#/eez/28/internal-fishing-access/
Bahamas,8404,BHS,Caribbean,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=BHS&subj=6,http://www.seaaroundus.org/data/#/country/44,,http://www.seaaroundus.org/data/#/subsidy/14,http://www.fishbase.org/Country/CountryTreatyList.php?Country=44,
Barbados,8418,BRB,Caribbean,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=BRB&subj=6,http://www.seaaroundus.org/data/#/country/52,,http://www.seaaroundus.org/data/#/subsidy/18,http://www.fishbase.org/Country/CountryTreatyList.php?Country=52,http://www.seaaroundus.org/data/#/eez/52/internal-fishing-access/
Belize,8457,BLZ,Caribbean,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=BLZ&subj=6,http://www.seaaroundus.org/data/#/country/84,,http://www.seaaroundus.org/data/#/subsidy/20,http://www.fishbase.org/Country/CountryTreatyList.php?Country=84,http://www.seaaroundus.org/data/#/eez/84/internal-fishing-access/
Benin,8393,BEN,Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=BEN&subj=6,http://www.seaaroundus.org/data/#/country/204,,http://www.seaaroundus.org/data/#/subsidy/21,http://www.fishbase.org/Country/CountryTreatyList.php?Country=204,http://www.seaaroundus.org/data/#/eez/204/internal-fishing-access/
Guinea-Bissau,8471,GNB,Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=GNB&subj=6,http://www.seaaroundus.org/data/#/country/624,,http://www.seaaroundus.org/data/#/subsidy/87,http://www.fishbase.org/Country/CountryTreatyList.php?Country=624,http://www.seaaroundus.org/data/#/eez/624/internal-fishing-access/
Botswana,N/A,N/A,N/A,,,,,,
Burkina Faso,N/A,N/A,N/A,,,,,,
Burundi,N/A,N/A,N/A,,,,,,
Cameroon,8475,CMR,Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=CMR&subj=6,http://www.seaaroundus.org/data/#/country/120,,http://www.seaaroundus.org/data/#/subsidy/30,http://www.fishbase.org/Country/CountryTreatyList.php?Country=120,http://www.seaaroundus.org/data/#/eez/120/internal-fishing-access/
Cape Verde,8362,CPV,Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=CPV&subj=6,http://www.seaaroundus.org/data/#/country/132,,http://www.seaaroundus.org/data/#/subsidy/33,http://www.fishbase.org/Country/CountryTreatyList.php?Country=132,http://www.seaaroundus.org/data/#/eez/132/internal-fishing-access/
Central African Republic,N/A,N/A,N/A,,,,,,
Chad,N/A,N/A,N/A,,,,,,
Comoros,8334,COM,Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=COM&subj=6,http://www.seaaroundus.org/data/#/country/174,,http://www.seaaroundus.org/data/#/subsidy/42,http://www.fishbase.org/Country/CountryTreatyList.php?Country=174,http://www.seaaroundus.org/data/#/eez/174/internal-fishing-access/
Congo (Brazzaville),N/A,N/A,N/A,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=COG&subj=6,http://www.seaaroundus.org/data/#/country/178,,http://www.seaaroundus.org/data/#/subsidy/44,http://www.fishbase.org/Country/CountryTreatyList.php?Country=178,http://www.seaaroundus.org/data/#/eez/178/internal-fishing-access/
Congo (Kinshasa),N/A,N/A,N/A,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=COD&subj=6,http://www.seaaroundus.org/data/#/country/180,,http://www.seaaroundus.org/data/#/subsidy/43,http://www.fishbase.org/Country/CountryTreatyList.php?Country=180,http://www.seaaroundus.org/data/#/eez/180/internal-fishing-access/
Cook Islands,8446,COK,Pacific,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=NZL&subj=6,http://www.seaaroundus.org/data/#/country/184,,http://www.seaaroundus.org/data/#/subsidy/45,http://www.fishbase.org/Country/CountryTreatyList.php?Country=184,http://www.seaaroundus.org/data/#/eez/184/internal-fishing-access/
Cte d'Ivoire,8473,CIV,Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=CIV&subj=6,http://www.seaaroundus.org/data/#/country/384,,http://www.seaaroundus.org/data/#/subsidy/47,http://www.fishbase.org/Country/CountryTreatyList.php?Country=384,http://www.seaaroundus.org/data/#/eez/384/internal-fishing-access/
Cuba,8406,CUB,Caribbean,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=CUB&subj=6,http://www.seaaroundus.org/data/#/country/192,,http://www.seaaroundus.org/data/#/subsidy/50,http://www.fishbase.org/Country/CountryTreatyList.php?Country=192,http://www.seaaroundus.org/data/#/eez/192/internal-fishing-access/
Djibouti,8352,DJI,Africa,,,,,,
Dominica,8417,DMA,Caribbean,,,,,,
Dominican Republic,8409,DOM,Caribbean,,,,,,
Equatorial Guinea,8398,GNQ,Africa,,,,,,
Eritrea,8351,ERI,Africa,,,,,,
Ethiopia,N/A,N/A,N/A,,,,,,
Fiji,8325,FJI,Pacific,,,,,,
Gabon,8476,GAB,Africa,,,,,,
Gambia,8370,GMB,Africa,,,,,,
Ghana,8400,GHA,Africa,,,,,,
Grenada,8419,GRD,Caribbean,,,,,,
Guinea,8472,GIN,Africa,,,,,,
Guyana,8460,GUY,Caribbean,,,,,,
Haiti,8408,HTI,Caribbean,,,,,,
Jamaica,8459,JAM,Caribbean,,,,,,
Kenya,8349,KEN,Africa,,,,,,
Kiribati,8441,KIR,Pacific,,,,,,
Lesotho,N/A,N/A,N/A,,,,,,
Liberia,8391,LBR,Africa,,,,,,
Madagascar,8348,MDG,Africa,,,,,,
Malawi,N/A,N/A,N/A,,,,,,
Mali,N/A,N/A,N/A,,,,,,
Marshall Islands,8318,MHL,Pacific,,,,,,
Mauritania,8369,MRT,Africa,,,,,,
Mauritius,8343,MUS,Africa,,,,,,
Micronesia,8316,FSM,Pacific,,,,,,
Mozambique,8347,MOZ,Africa,,,,,,
Namibia,8395,NAM,Africa,,,,,,
Nauru,8317,NRU,Pacific,,,,,,
Niger,N/A,N/A,N/A,,,,,,
Nigeria,8474,NGA,Africa,,,,,,
Niue,8447,NIU,Pacific,,,,,,
Palau,8315,PLW,Pacific,,,,,,
Papua New Guinea,8324,PNG,Pacific,,,,,,
Republic of Guinea,N/A,N/A,N/A,,,,,,
Rwanda,N/A,N/A,N/A,,,,,,
Samoa,8445,WSM,Pacific,,,,,,
Sao Tome and Principe,8397,STP,Africa,,,,,,
Senegal,8371,SEN,Africa,,,,,,
Seychelles,8337,SYC,Africa,,,,,,
Sierra Leone,8390,SLE,Africa,,,,,,
Solomon Islands,8314,SLB,Pacific,,,,,,
Somalia,8350,SOM,Africa,,,,,,
South Africa,8396,ZAF,Africa,,,,,,
St. Kitts and Nevis,8413,KNA,Caribbean,,,,,,
St. Lucia,8416,LCA,Caribbean,,,,,,
St. Vincent and the Grenadines,8421,VCT,Caribbean,,,,,,
Sudan,8355,SDN,Africa,,,,,,
Suriname,8461,SUR,Caribbean,,,,,,
Swaziland,N/A,N/A,N/A,,,,,,
Tanzania,8479,TZA,Africa,,,,,,
Timor Leste,N/A,N/A,N/A,,,,,,
Togo,8392,TGO,Africa,,,,,,
Tonga,8448,TON,Pacific,,,,,,
Trinidad and Tobago,8420,TTO,Caribbean,,,,,,
Tuvalu,8326,TUV,Pacific,,,,,,
Uganda,N/A,N/A,N/A,,,,,,
Vanuatu,8313,VUT,Pacific,,,,,,
Zambia,N/A,N/A,N/A,,,,,,
Zimbabwe,N/A,N/A,N/A,,,,,,
